Supplier,Product Num & Name,Min Purchase Qty,Case Unit Price,Deal Start Date,Deal End Date,Cases,FOB,Tax,Participation,Laid-in Cost,Gross,Margin %
Constellation Brands,2815 Modelo Especial 2/12/12 oz Btl,25,$31.25,8/3/2026,8/31/2026,12047,$23.86,$0.27,$1.75,$22.38,"$106,856.89",28.38%
Constellation Brands,2405 Coronita Extra 1/24/7 oz Btl,84,$21.10,8/3/2026,8/31/2026,17966,$15.53,$0.16,$0.50,$15.19,"$106,223.98",28.02%
Constellation Brands,2811 Modelo Especial 2/12/12 oz Can,81,$29.50,8/3/2026,8/31/2026,11468,$22.88,$0.27,$1.75,$21.40,"$92,890.80",27.46%
Constellation Brands,2409 Corona Extra 1/24/12 oz Loose Btl,320,$30.75,8/3/2026,8/31/2026,10666,$23.86,$0.27,$1.88,$22.26,"$90,607.67",27.63%
Constellation Brands,2409 Corona Extra 1/24/12 oz Loose Btl,162,$31.00,8/3/2026,8/31/2026,9604,$23.86,$0.27,$1.75,$22.38,"$82,786.48",27.81%
Constellation Brands,2808 Modelo Especial 1/24/12 oz Loose Btl,25,$31.00,8/3/2026,8/31/2026,9589,$23.86,$0.27,$1.75,$22.38,"$82,657.18",27.81%
Constellation Brands,2809 Modelo Especial 1/24/12 oz Loose Can,320,$28.50,8/3/2026,8/31/2026,10829,$22.53,$0.27,$1.88,$20.92,"$82,083.82",26.60%
Constellation Brands,2809 Modelo Especial 1/24/12 oz Loose Can,81,$29.00,8/3/2026,8/31/2026,8766,$22.53,$0.27,$1.88,$20.93,"$70,785.45",27.84%
MolsonCoors Beverage Company,234 Coors Light 1/12/24 oz Can,50,$17.50,8/3/2026,8/31/2026,10959,$14.04,$0.27,$1.75,$12.56,"$54,137.46",28.23%
Constellation Brands,2814 Modelo Especial 4/6/12 oz Btl,25,$31.50,8/3/2026,8/31/2026,5613,$23.86,$0.27,$1.58,$22.56,"$50,208.29",28.40%
Constellation Brands,2409 Corona Extra 1/24/12 oz Loose Btl,108,$31.25,8/3/2026,8/31/2026,5648,$23.86,$0.27,$1.68,$22.46,"$49,674.16",28.14%
Constellation Brands,2412 Corona Extra 2/12/12 oz Btl,54,$31.75,8/3/2026,8/31/2026,5317,$23.86,$0.27,$1.63,$22.51,"$49,155.67",29.12%
Constellation Brands,2412 Corona Extra 2/12/12 oz Btl,108,$31.50,8/3/2026,8/31/2026,5158,$23.86,$0.27,$1.63,$22.51,"$46,396.21",28.56%
MolsonCoors Beverage Company,221 Coors Light 1/30/12 oz Can,150,$26.00,8/6/2026,8/28/2026,6349,$19.29,$0.34,$0.50,$19.12,"$43,686.40",26.46%
MolsonCoors Beverage Company,521 Miller Lite 1/30/12 oz Can,150,$26.00,8/10/2026,8/31/2026,6511,$20.00,$0.34,$1.00,$19.34,"$43,379.54",25.63%
Constellation Brands,2808 Modelo Especial 1/24/12 oz Loose Btl,320,$30.65,8/3/2026,8/31/2026,5196,$23.86,$0.27,$1.75,$22.38,"$42,970.92",26.98%
Constellation Brands,2412 Corona Extra 2/12/12 oz Btl,162,$31.25,8/3/2026,8/31/2026,6035,$23.86,$0.27,$0.00,$24.13,"$42,969.20",22.78%
Constellation Brands,2405 Coronita Extra 1/24/7 oz Btl,320,$20.75,8/3/2026,8/31/2026,7780,$15.53,$0.16,$0.38,$15.31,"$42,342.65",26.23%
Constellation Brands,2410 Corona Extra 4/6/12 oz Btl,54,$32.00,8/3/2026,8/31/2026,3856,$23.86,$0.27,$1.50,$22.63,"$36,130.72",29.28%
Constellation Brands,2409 Corona Extra 1/24/12 oz Loose Btl,54,$31.50,8/3/2026,8/31/2026,3846,$23.86,$0.27,$1.68,$22.46,"$34,787.07",28.71%
Constellation Brands,2807 Modelito Especial 1/24/7 oz Loose Btl,84,$21.10,8/3/2026,8/31/2026,5399,$15.53,$0.16,$0.50,$15.19,"$31,921.59",28.02%
Heineken USA,1808 Heineken 1/24/12 oz Loose Btl,100,$31.00,8/3/2026,8/31/2026,4042,$23.48,$0.27,$0.60,$23.15,"$31,729.70",25.32%
MolsonCoors Beverage Company,221 Coors Light 1/30/12 oz Can,50,$27.00,8/3/2026,8/31/2026,3640,$19.29,$0.34,$0.40,$19.22,"$28,306.46",28.80%
Constellation Brands,2407 Corona Extra 2/12/12 oz Can,25,$31.00,8/3/2026,8/31/2026,3155,$23.86,$0.27,$1.75,$22.38,"$27,196.10",27.81%
Heineken USA,1812 Heineken 2/12/12 oz Btl,100,$31.25,8/3/2026,8/31/2026,3396,$23.48,$0.27,$0.38,$23.37,"$26,760.48",25.22%
Constellation Brands,2410 Corona Extra 4/6/12 oz Btl,162,$31.50,8/3/2026,8/31/2026,3455,$23.86,$0.27,$0.00,$24.13,"$25,463.35",23.40%
Constellation Brands,2811 Modelo Especial 2/12/12 oz Can,25,$30.50,8/3/2026,8/31/2026,3453,$22.88,$0.27,$0.00,$23.15,"$25,379.55",24.10%
Constellation Brands,2410 Corona Extra 4/6/12 oz Btl,108,$31.75,8/3/2026,8/31/2026,2508,$23.86,$0.27,$1.50,$22.63,"$22,872.96",28.72%
MolsonCoors Beverage Company,521 Miller Lite 1/30/12 oz Can,50,$27.00,8/3/2026,8/31/2026,3168,$20.00,$0.34,$0.50,$19.84,"$22,690.80",26.53%
Constellation Brands,2811 Modelo Especial 2/12/12 oz Can,50,$30.00,8/3/2026,8/31/2026,3139,$22.88,$0.27,$0.00,$23.15,"$21,502.15",22.83%
Constellation Brands,2816 Modelo Especial 1/12/24 oz Can,10,$31.30,8/3/2026,8/31/2026,2490,$22.41,$0.27,$0.00,$22.68,"$21,466.29",27.54%
Heineken USA,1808 Heineken 1/24/12 oz Loose Btl,320,$30.75,8/3/2026,8/28/2026,2554,$23.48,$0.27,$0.85,$22.90,"$20,048.90",25.53%
Constellation Brands,2410 Corona Extra 4/6/12 oz Btl,10,$34.00,8/3/2026,8/31/2026,1973,$23.86,$0.27,$0.25,$23.88,"$19,966.76",29.76%
Constellation Brands,2814 Modelo Especial 4/6/12 oz Btl,10,$31.50,8/3/2026,8/31/2026,2186,$23.86,$0.27,$1.58,$22.56,"$19,553.77",28.40%
Constellation Brands,2425 Corona Extra 1/24/12 oz Loose Can,25,$28.75,8/3/2026,8/31/2026,2322,$22.28,$0.27,$1.88,$20.67,"$18,761.76",28.10%
Constellation Brands,2816 Modelo Especial 1/12/24 oz Can,25,$31.30,8/3/2026,8/31/2026,2070,$22.41,$0.27,$0.00,$22.68,"$17,845.47",27.54%
MolsonCoors Beverage Company,214 Coors Light 1/24/12 oz Loose Btl,25,$22.10,8/3/2026,8/31/2026,2577,$16.25,$0.27,$1.25,$15.27,"$17,605.08",30.91%
Heineken USA,1806 Heineken 4/6/12 oz Btl,30,$31.35,8/3/2026,8/31/2026,2192,$23.53,$0.27,$0.43,$23.37,"$17,492.16",25.45%
Constellation Brands,2407 Corona Extra 2/12/12 oz Can,10,$31.25,8/3/2026,8/31/2026,2434,$23.86,$0.27,$0.00,$24.13,"$17,330.08",22.78%
Heineken USA,1816 Heineken 2/12/12 oz Can,15,$31.25,8/3/2026,8/31/2026,1905,$23.52,$0.27,$1.32,$22.47,"$16,728.72",28.10%
Constellation Brands,2405 Coronita Extra 1/24/7 oz Btl,50,$21.25,8/4/2026,8/31/2026,2866,$15.53,$0.16,$0.00,$15.69,"$15,942.13",26.18%
Constellation Brands,2403 Coronita Extra 2/12/7 oz Btl,84,$21.35,8/3/2026,8/31/2026,2618,$15.71,$0.16,$0.50,$15.37,"$15,662.19",28.02%
Pabst Brewing Company,7313 Pabst 1/30/12 oz Can,26,$19.50,8/3/2026,8/31/2026,3216,$16.17,$0.34,$1.75,$14.82,"$15,055.74",24.01%
MolsonCoors Beverage Company,501 Miller Lite 15.5 Gal Keg,2,$92.00,8/3/2026,8/31/2026,421,$67.45,$1.86,$12.50,$56.81,"$14,815.41",38.25%
Constellation Brands,2404 Coronita Extra 4/6/7 oz Btl,84,$21.85,8/3/2026,8/31/2026,2392,$15.88,$0.16,$0.38,$15.66,"$14,812.46",28.34%
Constellation Brands,2409 Corona Extra 1/24/12 oz Loose Btl,25,$33.00,8/3/2026,8/31/2026,1582,$23.86,$0.27,$0.25,$23.88,"$14,427.84",27.64%
MolsonCoors Beverage Company,234 Coors Light 1/12/24 oz Can,35,$17.90,8/3/2026,8/31/2026,2772,$14.04,$0.27,$1.53,$12.79,"$14,178.78",28.58%
Constellation Brands,2651 Victoria 2/12/12 oz Btl,25,$31.00,8/3/2026,8/31/2026,1588,$23.86,$0.27,$1.75,$22.38,"$13,688.56",27.81%
Constellation Brands,2405 Coronita Extra 1/24/7 oz Btl,25,$21.40,8/3/2026,8/31/2026,2373,$15.53,$0.16,$0.00,$15.69,"$13,555.76",26.69%
Constellation Brands,2415 Corona Extra 1/12/24 oz Can,10,$31.30,8/3/2026,8/31/2026,1541,$22.41,$0.27,$0.00,$22.68,"$13,284.96",27.54%
Constellation Brands,2415 Corona Extra 1/12/24 oz Can,25,$31.20,8/3/2026,8/31/2026,1546,$22.41,$0.27,$0.00,$22.68,"$13,173.47",27.31%
Constellation Brands,2425 Corona Extra 1/24/12 oz Loose Can,320,$28.50,8/4/2026,8/31/2026,1678,$22.28,$0.27,$1.88,$20.68,"$13,130.35",27.46%
Boston Beer Company,3919 Sam Adams Octoberfest 4/6/12 oz Btl,10,$34.80,8/7/2026,8/31/2026,1370,$25.16,$0.27,$0.00,$25.43,"$12,836.90",26.93%
Heineken USA,1806 Heineken 4/6/12 oz Btl,100,$31.35,8/3/2026,8/31/2026,1600,$23.53,$0.27,$0.43,$23.37,"$12,768.00",25.45%
MolsonCoors Beverage Company,1201 Blue Moon Belgian White Ale 15.5 Gal Keg,10,$172.00,8/3/2026,8/3/2026,175,$99.96,$1.86,$0.00,$101.82,"$12,281.15",40.80%
Constellation Brands,2410 Corona Extra 4/6/12 oz Btl,25,$33.50,8/3/2026,8/31/2026,1212,$23.86,$0.27,$0.75,$23.38,"$12,265.44",30.21%
Boston Beer Company,3813 Sam Adams Octoberfest 15.5 Gal Keg,0,$185.00,8/3/2026,8/31/2026,170,$112.75,$1.86,$0.00,$114.61,"$11,966.30",38.05%
Constellation Brands,2809 Modelo Especial 1/24/12 oz Loose Can,50,$29.50,8/3/2026,8/31/2026,1385,$22.53,$0.27,$1.75,$21.05,"$11,703.25",28.64%
MolsonCoors Beverage Company,234 Coors Light 1/12/24 oz Can,320,$17.40,8/4/2026,8/27/2026,2402,$14.04,$0.27,$1.78,$12.54,"$11,685.73",27.96%
MolsonCoors Beverage Company,206 Coors Light 4/6/7 oz Btl,5,$13.70,8/3/2026,8/31/2026,3055,$10.72,$0.16,$1.00,$9.88,"$11,668.57",27.88%
Sapporo,10334 Sapporo Premium 1/12/22 oz Can,10,$29.75,8/3/2026,8/31/2026,1385,$22.35,$0.25,$1.25,$21.35,"$11,637.46",28.24%
MolsonCoors Beverage Company,7142 Peroni 2/12/11.2 oz Btl,20,$30.00,8/3/2026,8/31/2026,1505,$24.51,$0.25,$2.48,$22.29,"$11,601.77",25.70%
Constellation Brands,2821 Modelo Chelada Limon y Sal 1/12/24 oz Can,10,$31.30,8/3/2026,8/31/2026,1310,$22.41,$0.27,$0.00,$22.68,"$11,293.51",27.54%
DG Yuengling Inc,4701 Yuengling Lager 15.5 Gal Keg,2,$93.00,8/3/2026,8/31/2026,294,$52.50,$1.86,$0.00,$56.75,"$10,657.45",38.98%
Heineken USA,1820 Heineken 1/12/24 oz Can,20,$28.80,8/3/2026,8/31/2026,1330,$22.47,$0.27,$1.88,$20.86,"$10,560.20",27.57%
Boston Beer Company,200665 Sun Cruiser Iced Tea Variety 2/12/12 oz Can,52,$39.00,8/3/2026,8/31/2026,477,$19.87,$0.00,$2.50,$17.37,"$10,317.51",55.46%
MolsonCoors Beverage Company,1210 Blue Moon Belgian White Ale 2/12/12 oz Btl,10,$32.50,8/3/2026,8/31/2026,1130,$24.67,$0.27,$1.50,$23.44,"$10,240.06",27.88%
MolsonCoors Beverage Company,123 Coors Banquet 1/12/24 oz Can,50,$17.50,8/3/2026,8/31/2026,2049,$14.04,$0.27,$1.73,$12.59,"$10,070.84",28.09%
Boston Beer Company,3921 Sam Adams Octoberfest 2/12/12 oz Can,10,$32.80,8/3/2026,8/31/2026,1093,$23.36,$0.27,$0.00,$23.63,"$10,022.81",27.96%
Constellation Brands,2410 Corona Extra 4/6/12 oz Btl,0,$35.00,8/3/2026,8/31/2026,915,$23.86,$0.27,$0.00,$24.13,"$9,947.13",31.06%
Constellation Brands,2807 Modelito Especial 1/24/7 oz Loose Btl,320,$20.75,8/3/2026,8/31/2026,1797,$15.53,$0.16,$0.38,$15.31,"$9,780.17",26.23%
MolsonCoors Beverage Company,249 Coors Light 1/36/12 oz Can,15,$29.40,8/3/2026,8/31/2026,1181,$20.72,$0.41,$0.00,$21.12,"$9,778.68",28.16%
Constellation Brands,2409 Corona Extra 1/24/12 oz Loose Btl,10,$34.00,8/3/2026,8/28/2026,986,$23.86,$0.27,$0.00,$24.13,"$9,734.52",29.04%
Heineken USA,1806 Heineken 4/6/12 oz Btl,0,$36.00,8/3/2026,8/31/2026,795,$23.53,$0.27,$0.00,$23.80,"$9,699.27",33.89%
Boston Beer Company,200665 Sun Cruiser Iced Tea Variety 2/12/12 oz Can,10,$39.00,8/3/2026,8/31/2026,448,$19.87,$0.00,$2.50,$17.37,"$9,690.24",55.46%
