Customer Name	Category	Sales Rep	Bought
Johnny A's (P) Hitchn Pos	Core	Allison Scott	1
Johnny A's (P) Hitchn Pos	Core+	Allison Scott	1
Cazadores Bar (Z) LLC	Core	Javier Melo	1
The Beacon	Core	Brian Sengebush	1
Freddie's Dugout	Core	Pablo Lopez	1
449 Prime @ Edgewood Country Club	Core+	Paul Mclaughlin	1
449 Prime @ Edgewood Country Club	Core	Paul Mclaughlin	1
Sparta Lanes (Pino)	Core	Brian Sengebush	1
Blarney Station	Core	Nick Melissari	1
Mambo Lounge (P)	Core	Javier Melo	1
Marriot Hotel(A)Saddle Bk	Core	Robin Feldman	1
Marriot Hotel(A)Saddle Bk	Core+	Robin Feldman	1
Millers Ale House Rockawa	Core+	Brian Sengebush	1
Millers Ale House Rockawa	Core	Brian Sengebush	1
Grand Lux Cafe (A)	Core	Nick Melissari	1
Saritas Mexican Rest(A)	Core	Pablo Lopez	1
Dave & Buster's Nj, Inc	Core	Allison Scott	1
Dave & Buster's Nj, Inc	Core+	Allison Scott	1
Applebee's Garfield (A)	Core+	Nick Melissari	1
Applebee's Garfield (A)	Core	Nick Melissari	1
LOTUS	Core	Pablo Lopez	1
LOTUS	Core+	Pablo Lopez	1
Applebee's Clifton	Core	Allison Scott	1
Applebee's Clifton	Core+	Allison Scott	1
Players Club (Z)	Core	Paul Mclaughlin	1
Players Club (Z)	Core+	Paul Mclaughlin	1
YARD HOUSE 8384	Core	Allison Scott	1
Doghouse Saloon (Z)	Core	Paul Mclaughlin	1
Rivervale Country Club	Core	Paul Mclaughlin	1
The Hive Bar & Bistro	Core	Nick Melissari	1
Lenoras Bar (P)	Core	Paul Mclaughlin	1
Lenoras Bar (P)	Core+	Paul Mclaughlin	1
Charley's Tavern	Core	Brian Sengebush	1
Charley's Tavern	Core+	Brian Sengebush	1
El Anochecer	Core	Javier Melo	1
Noches De Colombia (S. Hackensack))	Core	Pablo Lopez	1
Tommy's Tavern + Tap (Wayne)	Core	Allison Scott	1
Yard House 8390	Core	Nick Melissari	1
Steel Wheel Tavern	Core	Mike Ast	1
Hilton Hasbrk Hts #50591	Core	Robin Feldman	1
Hilton Hasbrk Hts #50591	Core+	Robin Feldman	1
Hi-Beams (P)	Core	Pablo Lopez	1
Bardis (P)	Core	Allison Scott	1
Straphanger Saloon (A)	Core	Paul Mclaughlin	1
Straphanger Saloon (A)	Core+	Paul Mclaughlin	1
Blackjack Mulligans (Hawthorne)	Core	Nick Melissari	1
Applebee's Paramus	Core+	Nick Melissari	1
Applebee's Paramus	Core	Nick Melissari	1
Courtyard Marriott(A)	Core	Robin Feldman	1
Courtyard Marriott(A)	Core+	Robin Feldman	1
The Cornerstone (P)	Core	Paul Mclaughlin	1
Applebee's (Totowa) (A)	Core+	Allison Scott	1
Applebee's (Totowa) (A)	Core	Allison Scott	1
Flip's Bar (P)	Core	Anthony Palmisano	1
Hearth & Tap Co.	Core	Paul Mclaughlin	1
Tommy Fox's Pub Hse(P)	Core	Paul Mclaughlin	1
The Craftsman	Core	Robin Feldman	1
Applebee's Grill(A)Newton	Core+	Brian Sengebush	1
Applebee's Grill(A)Newton	Core	Brian Sengebush	1
Blackjack Mulligans(P) (Garfield)	Core	Nick Melissari	1
Blackjack Mulligans(P) (Garfield)	Core+	Nick Melissari	1
Krogh's Restaurant & Brew Pub	Core	Brian Sengebush	1
Bonfire Mofongo House (P)	Core	Pablo Lopez	1
Blackjack Mulligan's Public House	Core	Allison Scott	1
Raku Izakaya (Z)	Core	Dan Lagala	1
Tommy's Tavern & Tap (Clifton)	Core	Allison Scott	1
Cjd 2l Corp(Sofive)	Core	Nick Melissari	1
Cjd 2l Corp(Sofive)	Core+	Nick Melissari	1
Tony's Pizza (P)	Core	Anthony Palmisano	1
Courtyard Marriott Mt Arl	Core	Robin Feldman	1
Courtyard Marriott Mt Arl	Core+	Robin Feldman	1
Club Sq (A)	Core	Javier Melo	1
Eddie V's	Core	Nick Melissari	1
Eddie V's	Core+	Nick Melissari	1
High Point Gc/Rest (P)	Core	Anthony Palmisano	1
Lakeside Drive Tavern	Core	Allison Scott	1
Bottagra Rest (P)	Core	Allison Scott	1
Bottagra Rest (P)	Core+	Allison Scott	1
Millers Paramus Ale House	Core+	Nick Melissari	1
Millers Paramus Ale House	Core	Nick Melissari	1
Rockaway River Barn	Core	Brian Sengebush	1
WAYNE ALE HOUSE & PIZZA	Core	Allison Scott	1
WAYNE ALE HOUSE & PIZZA	Core+	Allison Scott	1
CAJUN SEAFOOD AND BAR	Core	Paul Mclaughlin	1
CAJUN SEAFOOD AND BAR	Core+	Paul Mclaughlin	1
Sunset Valley G C (A)	Core+	Allison Scott	1
Sunset Valley G C (A)	Core	Allison Scott	1
Uncorked (P)	Core	Allison Scott	1
Lola's Restaurant	Core	Brian Sengebush	1
Tommy's Tavern + Tap (Edgewater)	Core	Nick Melissari	1
Club Flamingo (A)	Core	Paul Mclaughlin	1
Club Flamingo (A)	Core+	Paul Mclaughlin	1
Doc Watsons NJ	Core	Robin Feldman	1
Pat's Bar (P)	Core	Brian Sengebush	1
Legends (P)	Core	Nick Melissari	1
Mason Street Grille	Core	Brian Sengebush	1
Mason Street Grille	Core+	Brian Sengebush	1
Stosh's Craft Bar (Z)	Core	Paul Mclaughlin	1
Buffalo Wild Wings - Wayne, NJ	Core+	Allison Scott	1
Buffalo Wild Wings - Wayne, NJ	Core	Allison Scott	1
Applebee's (A) Hackensack	Core+	Nick Melissari	1
Applebee's (A) Hackensack	Core	Nick Melissari	1
Victory Sports Bar	Core	Nick Melissari	1
The Little Falls Tavern	Core	Allison Scott	1
The Little Falls Tavern	Core+	Allison Scott	1
Simulcast	Core	Nick Melissari	1
Parkway Lanes	Core	Nick Melissari	1
Galleria	Core	Pablo Lopez	1
