customer_num,name,premise,address,county,area,rep,dm
408,Fredon Liquor (Fredon Deli),Off,428 RT 94,Sussex,Sussex,Jayson Romine,Paul Deady
1001,Watershed Pub & Deli (P),Off,62 Old Route 23,Passaic,Passaic,Default,None
1002,Country Cottage Rest (P),On,1745 Macopin Rd,Passaic,Passaic-FF,Anthony Palmisano,Chris McCrohan
1003,23 liquor & Tobacco,Off,3051 Route 23,Passaic,Sales,Klejdi Lamo,Paul Deady
1004,The Vreeland Store,On,1383 Macopin Road,Passaic,Passaic-FF,Anthony Palmisano,Chris McCrohan
1005,Grasshopper Irish Pub (A),On,2891 Route 23,Passaic,Passaic,Allison Scott,Chris McCrohan
1007,The Greenwood Tavern,On,1934 Greenwood Lake Tpke,Passaic,Passaic-FF,Anthony Palmisano,Chris McCrohan
1009,Hootch Hut (P),Off,717 Otterhole Rd,Passaic,Passaic-FF,Anthony Palmisano,Chris McCrohan
1010,Jimmy Geez(North)Bar/Gril,On,3219 Rt 23 South,Passaic,Passaic,Anthony Palmisano,Chris McCrohan
1012,Uncorked Wines & Spirits (West Milford),Off,9 Marshall Hill Road,Passaic,Passaic-FF,Anthony Palmisano,Chris McCrohan
1014,Chido Mexican Kitchen,On,665 Warwick Turnpike,Passaic,Passaic,Anthony Palmisano,Chris McCrohan
1015,Greenwood Lake Disc.(P),Off,2019 Greenwood Lake Tpk,Passaic,Passaic-FF,Anthony Palmisano,Chris McCrohan
1017,Millers Ale House Rockawa,On,325 Mt Hope Avenue,Morris,Morris 1,Brian Sengebush,Chris McCrohan
1021,M & M Discount Liq,Off,574 A Macopin Rd,Passaic,Passaic,Anthony Palmisano,Chris McCrohan
1022,The Cheesecake Factory,On,301 Mt. Hope Ave,Morris,Morris 1,Brian Sengebush,Chris McCrohan
1023,The New Jessies Kettle(P),On,1555 Greenwood Lk Tpke,Passaic,Passaic-FF,Anthony Palmisano,Chris McCrohan
1024,Buffalo Wild Wings (Rockaway),On,343 Mount Hope Ave,Morris,Morris 1,Brian Sengebush,Chris McCrohan
1026,American Legion Post 289 (A) West Milford,On,177 Lincoln Av,Passaic,Passaic-FF,Robin Feldman,Chris McCrohan
1028,J & S Roadhouse,On,17 Wooley Road,Passaic,Passaic-FF,Anthony Palmisano,Chris McCrohan
1029,Vault Liquors,Off,1618 Union Valley Rd Fl 1,Passaic,Passaic-FF,Anthony Palmisano,Chris McCrohan
1030,Elks Post 2236 (P),On,1860 Union Valley Road,Passaic,Passaic-FF,Robin Feldman,Chris McCrohan
1031,Highland Wine&Liquor Inc,Off,1926 Union Valley Rd K,Passaic,Passaic-FF,Anthony Palmisano,Chris McCrohan
1032,Prime 374 - Seafood & Steak,On,374 Morestown Road,Passaic,Passaic-FF,Robin Feldman,Chris McCrohan
1033,D'Boathaus Restaurant,On,322 Lakeside Road,Passaic,Passaic-FF,Anthony Palmisano,Chris McCrohan
1035,Old School Pub P),On,551 Warwick Tpke,Passaic,Passaic-FF,Anthony Palmisano,Chris McCrohan
1214,Whiskey Wolf Tavern (P),On,399 Lake Shore Dr,Passaic,Passaic-FF,Anthony Palmisano,Chris McCrohan
2002,Ringwood Discount Liquors,Off,38 Ringwood Ave,Passaic,Passaic-FF,Anthony Palmisano,Chris McCrohan
2003,Ringwood W&L,Off,130 Skyline Drive,Passaic,Passaic-FF,Anthony Palmisano,Chris McCrohan
2004,Sam's Bar and Grill,On,15 Greenwood Lake Turnpik,Passaic,Passaic-FF,Anthony Palmisano,Chris McCrohan
2005,Arta Trattoria (P),On,1131 Greenwood Lake Turnp,Passaic,Passaic-FF,Robin Feldman,Chris McCrohan
2009,Frungillo Caterers,On,7 Morris Road,Passaic,Passaic-FF,Robin Feldman,Chris McCrohan
2010,Skyline Lakes Prop Owners,On,103 Skyline Lakes Dr,Passaic,Passaic-FF,Robin Feldman,Chris McCrohan
3001,Best Cellars (Wanaque),Off,1069 Ringwood Ave,Passaic,Passaic-FF,Anthony Palmisano,Chris McCrohan
3002,The Celtic Knot,On,72 Haskell Ave,Passaic,Passaic-FF,Allison Scott,Chris McCrohan
3005,Usa Wine Traders (Wanaque),Off,207 Ringwood Ave,Passaic,Passaic-FF,Anthony Palmisano,Chris McCrohan
3006,Wine 2 Spirits (P),Off,662 Ringwood Avenue,Passaic,Passaic-FF,Anthony Palmisano,Chris McCrohan
3007,Kitchen & Beer Bar,On,1093 Ringwood Ave,Passaic,Passaic-FF,Allison Scott,Chris McCrohan
3011,Flip's Bar (P),On,18 Railroad Ave,Passaic,Passaic-FF,Anthony Palmisano,Chris McCrohan
3012,Tree Tavern (A),On,17 Park St,Passaic,Passaic-FF,Robin Feldman,Chris McCrohan
3014,Il Palazzo (Z),On,600 Ringwood Ave,Passaic,Passaic-FF,Anthony Palmisano,Chris McCrohan
3018,La Catrina,On,548 Ringwood Ave,Passaic,Sales,Anthony Palmisano,Chris McCrohan
4002,Bloomingdale Discount Liq,Off,82 Main St,Passaic,Passaic,Anthony Palmisano,Chris McCrohan
4003,Cinco De Mayo (Z),On,125 Hamburg Turnpike,Passaic,Passaic,Anthony Palmisano,Chris McCrohan
4004,The River Of Beer,On,133 Main St,Passaic,Passaic,Anthony Palmisano,Chris McCrohan
4005,Turnpike Discount Liquors,Off,139 Hamburg Turnpike,Passaic,Passaic,Anthony Palmisano,Chris McCrohan
4007,Karls Stumble Inn,On,231 Hamburg Turnpike,Passaic,Passaic,Anthony Palmisano,Chris McCrohan
4008,Lina's Ristorante,On,49 Main Street,Passaic,Passaic,Office Tell Sell,Chris McCrohan
4009,Usa Wine Traders Club (Bloomingdale),Off,29 Main St,Passaic,Passaic,Anthony Palmisano,Chris McCrohan
4011,Bloomingdale Fire Dept,On,97 Hamburg Tpke,Passaic,Passaic,Robin Feldman,Chris McCrohan
5001,River Place Food Store,Off,1284 Rt. 23,Morris,Morris 3,Anthony Palmisano,Chris McCrohan
5002,100 Proof Bar & Bites,On,227 Main Street,Morris,Morris 3,Allison Scott,Chris McCrohan
