supplier,customer_num,gross_2026,dist_pts,rank,decile,universe_decile
Bardstown Bourbon Co,1005,13.15,1,202,10,3
Bardstown Bourbon Co,1007,43.94,2,149,10,8
Bardstown Bourbon Co,1012,381.46,1,51,10,1
Bardstown Bourbon Co,1015,83.06,2,120,10,1
Bardstown Bourbon Co,1031,40.91,1,153,10,1
Bardstown Bourbon Co,2010,13.15,1,202,10,8
Bardstown Bourbon Co,3001,154.55,3,89,10,1
Bardstown Bourbon Co,4009,642.01,2,33,10,1
Bardstown Bourbon Co,5001,172.73,2,86,10,1
Bardstown Bourbon Co,5006,66.55,2,131,10,1
Bardstown Bourbon Co,7001,344.55,2,55,10,3
Bardstown Bourbon Co,7003,70.55,1,127,10,3
Bardstown Bourbon Co,8006,392.67,3,49,10,5
Bardstown Bourbon Co,8008,116.55,2,105,10,1
Bardstown Bourbon Co,8015,7.65,1,224,10,2
Bardstown Bourbon Co,9001,20.80,2,190,10,6
Bardstown Bourbon Co,10003,121.82,2,100,10,1
Bardstown Bourbon Co,10007,7.65,1,224,10,2
Bardstown Bourbon Co,11003,345.18,3,54,10,1
Bardstown Bourbon Co,11014,85.88,2,118,10,1
Bardstown Bourbon Co,12005,635.30,3,35,10,1
Bardstown Bourbon Co,12007,636.65,3,34,10,3
Bardstown Bourbon Co,12011,1848.31,4,10,5,1
Bardstown Bourbon Co,12022,13.15,1,202,10,3
Bardstown Bourbon Co,12023,190.10,3,79,10,4
Bardstown Bourbon Co,12026,6.82,1,242,10,3
Bardstown Bourbon Co,12047,38.00,1,161,10,4
Bardstown Bourbon Co,13003,7.65,1,224,10,3
Bardstown Bourbon Co,13017,259.64,2,64,10,2
Bardstown Bourbon Co,14007,2587.74,3,5,3,1
Bardstown Bourbon Co,14010,21.97,2,188,10,5
Bardstown Bourbon Co,15004,61.73,1,135,10,2
Bardstown Bourbon Co,15040,7.65,1,224,10,3
Bardstown Bourbon Co,15074,6.82,1,242,10,3
Bardstown Bourbon Co,15079,186.50,1,82,10,5
Bardstown Bourbon Co,17010,136.82,1,94,10,1
Bardstown Bourbon Co,18001,178.73,2,85,10,1
Bardstown Bourbon Co,19006,15.30,1,195,10,2
Bardstown Bourbon Co,19008,202.73,1,74,10,2
Bardstown Bourbon Co,19009,52.91,1,140,10,1
Bardstown Bourbon Co,19012,36.79,1,164,10,4
Bardstown Bourbon Co,19027,476.14,3,42,10,1
Bardstown Bourbon Co,20055,22.96,1,182,10,1
Bardstown Bourbon Co,20070,8.82,1,212,10,2
Bardstown Bourbon Co,20106,107.82,2,109,10,1
Bardstown Bourbon Co,21031,22.96,1,182,10,1
Bardstown Bourbon Co,21034,7.65,1,224,10,2
Bardstown Bourbon Co,21043,6.82,1,242,10,3
Bardstown Bourbon Co,23004,548.61,3,40,10,1
Bardstown Bourbon Co,23012,14.49,1,199,10,6
Bardstown Bourbon Co,24011,542.19,3,41,10,1
Bardstown Bourbon Co,24014,33.60,2,167,10,2
