customer_num,class,gross_2026,stops_2026,dist_pts,rank,decile
408,B,26486.29,43,83,346,2
1002,B,6155.31,33,22,721,4
1003,C,7095.78,33,99,669,4
1004,C,771.67,15,14,1615,8
1005,A,16387.15,77,25,445,3
1007,B,799.73,7,14,1605,8
1009,C,14745.18,51,60,472,3
1010,B,9364.91,52,38,582,3
1012,A,131897.69,109,244,44,1
1014,C,714.55,6,13,1649,8
1015,B,76816.94,86,166,118,1
1017,A,21458.28,54,31,385,2
1021,C,20134.64,39,102,395,2
1022,B,3654.25,39,11,919,5
1023,A,17194.16,42,46,435,2
1024,B,9242.44,47,25,588,3
1026,B,2556.36,15,20,1080,5
1028,B,5834.37,35,32,745,4
1029,C,8026.54,46,85,629,3
1030,B,8413.55,39,24,614,3
1031,A,90596.84,60,192,91,1
1032,C,326.16,3,9,1941,9
1033,B,4931.81,30,19,806,4
1035,A,17901.68,58,40,426,2
1214,B,18060.29,45,55,423,2
2002,B,47542.72,73,129,218,1
2003,B,73131.80,70,180,128,1
2004,B,8200.80,34,26,622,3
2005,B,362.42,16,6,1903,9
2009,B,2131.53,14,17,1151,6
2010,C,805.08,10,19,1601,8
3001,B,95826.88,107,265,78,1
3002,A,20142.88,54,35,394,2
3005,B,52754.47,60,178,190,1
3006,B,39684.08,74,114,267,2
3007,C,1176.07,11,7,1406,7
3011,A,13469.29,48,36,490,3
3012,C,1090.97,8,12,1450,7
3014,C,836.47,5,7,1574,8
3018,C,484.22,2,17,1817,9
4002,C,27175.55,33,108,342,2
4003,C,1086.00,9,11,1453,7
4004,B,6137.66,39,22,723,4
4005,B,74589.40,81,148,122,1
4007,B,8275.19,51,24,618,3
4008,C,10.52,1,1,2222,10
4009,A,131476.43,70,232,45,1
4011,C,3454.01,21,18,944,5
5001,B,65387.41,80,153,153,1
5002,C,1374.29,13,9,1337,7
5003,B,5718.04,24,20,753,4
5004,B,2742.00,29,18,1047,5
5006,B,55580.91,55,163,180,1
5008,A,13257.87,50,25,495,3
5009,B,1539.71,16,12,1289,6
5012,C,112.23,2,3,2126,10
5016,C,1285.92,11,20,1370,7
6001,C,952.55,8,11,1511,7
6002,B,52256.33,85,147,197,1
6003,B,2268.78,20,20,1121,6
6004,C,15299.53,25,96,462,3
6005,C,980.11,9,12,1494,7
7001,C,15187.73,35,137,466,3
7003,A,13077.96,57,36,498,3
7005,B,5834.35,66,17,746,4
8002,B,36585.70,81,110,284,2
8004,B,11390.60,45,30,532,3
8005,B,28379.41,83,143,335,2
8006,B,2763.12,49,26,1040,5
8007,B,71284.12,55,215,133,1
8008,B,54700.54,102,225,186,1
8009,B,57287.12,84,110,172,1
8010,B,60076.31,57,73,166,1
8013,B,2632.55,31,20,1061,5
8014,B,4379.42,35,17,857,4
8015,A,29738.10,62,30,327,2
8016,C,1170.22,7,20,1410,7
9001,B,2139.04,13,19,1147,6
9002,B,2566.60,28,16,1075,5
9003,B,46488.65,76,117,227,2
9005,B,2378.08,9,6,1105,5
9007,C,232.05,4,7,2015,10
9009,B,1805.17,22,19,1222,6
10001,B,5312.92,48,35,785,4
10002,C,1992.11,21,15,1178,6
10003,B,69576.70,79,235,141,1
10007,B,16465.83,52,30,444,2
10010,B,4543.01,20,20,845,4
11001,B,47713.91,31,180,217,1
11003,A,117462.27,106,315,55,1
11004,B,3314.18,25,13,964,5
11005,B,40169.10,44,111,260,2
11007,B,5368.79,25,19,780,4
11011,A,15439.86,43,28,458,3
11012,C,1123.32,9,14,1437,7
11014,B,51938.55,58,136,199,1
12001,B,4984.29,24,23,804,4
12003,B,743.68,26,5,1633,8
12005,A,96840.19,87,261,76,1
12006,B,1022.03,33,13,1476,7
12007,C,14293.55,39,150,478,3
12008,B,3271.52,25,16,970,5
12010,C,589.97,7,7,1731,8
12011,A,312308.08,100,276,9,1
12012,C,199.63,5,3,2046,10
12013,B,3535.25,7,14,935,5
12014,B,2323.56,19,11,1110,5
12015,C,1564.51,11,4,1283,6
12017,B,84525.96,80,179,107,1
12018,C,698.13,6,9,1660,8
12019,B,3267.45,29,20,972,5
12020,B,3297.47,29,22,966,5
12022,A,16164.85,80,29,449,3
12023,B,4450.77,52,38,854,4
12024,C,156.29,1,7,2077,10
12025,C,758.09,5,6,1623,8
12026,A,11758.86,80,32,521,3
12031,B,2497.77,28,14,1089,5
12032,B,5888.15,20,18,743,4
12034,A,13490.98,46,25,489,3
12035,B,2196.05,16,29,1138,6
12036,B,6928.66,41,24,681,4
12037,B,9589.46,54,26,579,3
12038,A,10814.22,57,28,549,3
12041,B,5243.32,41,13,788,4
12042,C,,1,,,
12043,B,5717.33,34,17,754,4
12046,B,652.28,7,11,1688,8
12047,B,4519.73,44,19,847,4
12048,B,4272.58,42,15,865,4
12049,C,206.91,1,4,2038,10
12051,B,3067.86,26,18,995,5
12054,B,2219.02,17,14,1133,6
12056,B,2170.54,36,14,1145,6
12057,A,22609.19,56,30,377,2
12058,B,1182.59,5,12,1402,7
12060,A,391372.50,42,16,6,1
12061,C,332.45,7,6,1934,9
12064,A,8320.30,23,31,617,3
12065,B,4783.89,31,30,819,4
12066,C,329.39,3,15,1938,9
12067,C,1299.22,11,19,1365,7
12068,B,1307.43,8,18,1363,7
12089,C,12888.59,10,21,501,3
13001,A,216220.09,83,228,18,1
13002,B,8795.39,50,30,598,3
13003,B,11628.24,57,31,524,3
13005,C,1707.93,14,13,1249,6
13007,C,1209.13,9,11,1393,7
13008,B,67332.18,102,204,146,1
13013,B,1308.14,12,12,1362,7
13014,C,348.15,3,6,1915,9
13015,B,1497.79,37,16,1301,6
13016,B,5608.21,39,23,760,4
13017,B,34325.58,54,117,296,2
13018,B,5616.74,47,23,758,4
14001,C,13266.10,7,113,494,3
14002,B,8620.06,47,27,602,3
14003,A,20008.79,54,27,397,2
14004,B,3401.67,31,14,953,5
14005,B,4864.82,23,9,813,4
14006,B,3599.81,18,11,926,5
14007,A,576081.08,93,315,3,1
14008,B,5592.44,39,17,764,4
14010,B,3137.33,25,20,986,5
14013,C,1457.72,15,15,1317,6
14016,B,1605.83,23,3,1270,6
14017,C,636.12,3,5,1701,8
15002,C,633.45,7,9,1703,8
15004,A,19366.22,54,52,404,2
15006,B,4692.38,21,17,829,4
15008,B,3334.58,18,16,960,5
15012,B,91850.81,65,128,87,1
15013,B,70999.53,61,108,135,1
15014,C,19444.47,41,67,403,2
15016,B,90769.07,86,124,89,1
15018,A,17298.91,22,12,431,2
15020,B,31023.70,30,82,319,2
15023,B,37876.74,34,77,277,2
15030,B,43548.52,12,51,240,2
15031,B,24887.46,68,52,361,2
15034,B,36043.92,32,70,288,2
15036,B,4999.77,35,17,801,4
15037,B,57975.84,49,145,170,1
15040,C,14609.41,54,92,474,3
15045,B,6339.91,8,7,708,4
15046,B,7430.52,38,8,652,3
15047,C,24176.62,42,86,365,2
15048,B,1493.15,16,13,1303,6
15049,C,971.76,6,16,1497,7
