product_num,customer_num,cost,revenue,gross
5,1214,0.00,11.44,11.44
5,2004,0.00,113.86,113.85
5,3007,0.00,8.51,8.51
5,4008,0.00,2.55,2.55
5,6002,0.00,76.80,76.80
5,6004,0.00,94.81,94.81
5,8007,0.00,46.55,46.55
5,12020,0.00,42.35,42.35
5,12021,0.00,5.48,5.48
5,12036,0.00,78.04,77.93
5,12069,0.00,36.31,36.27
5,14001,0.00,491.14,491.14
5,15025,0.00,8.88,8.86
5,15030,0.00,244.25,244.25
5,15033,0.00,204.04,203.79
5,15044,0.00,7.06,7.09
5,15051,0.00,83.37,83.49
5,17015,0.00,6.69,6.69
5,18002,0.00,17.80,17.80
5,19008,0.00,113.99,113.98
5,20013,0.00,47.06,47.02
5,20028,0.00,29.65,29.65
5,20042,0.00,136.68,136.68
5,20082,0.00,51.12,51.11
5,20096,0.00,281.31,281.32
5,20112,0.00,4.20,4.20
5,20126,0.00,715.75,715.45
5,21014,0.00,56.92,56.93
5,21024,0.00,37.68,37.69
5,21025,0.00,2200.43,2200.33
5,21038,0.00,52.99,52.99
5,22006,0.00,172.61,172.62
5,22014,0.00,77.79,77.78
5,22021,0.00,61.17,61.17
5,22024,0.00,60.61,60.63
5,22051,0.00,75.85,75.85
5,23004,0.00,141.26,141.25
5,25015,0.00,180.00,180.00
5,25019,0.00,4.14,4.14
5,25020,0.00,35.72,35.78
5,25025,0.00,4.85,4.84
5,25040,0.00,33.89,33.84
5,25046,0.00,29.28,29.27
5,26003,0.00,26.72,26.72
5,26009,0.00,43.89,44.01
5,27052,0.00,52.64,52.65
5,27064,0.00,62.82,62.61
5,27076,0.00,104.46,104.49
5,27077,0.00,80.00,80.00
5,27102,0.00,175.52,175.53
5,27137,0.00,99.13,99.08
5,28019,0.00,17.90,17.90
5,28029,0.00,1.91,1.91
5,29010,0.00,5.59,5.58
5,29016,0.00,5.82,5.82
5,30003,0.00,16.68,16.68
5,30005,0.00,22.28,22.28
5,31040,0.00,10.33,10.33
5,32001,0.00,4.03,4.03
5,33006,0.00,6.11,6.11
5,35002,0.00,1.25,1.25
5,38001,0.00,168.97,168.97
5,38019,0.00,61.36,61.36
5,39008,0.00,3.59,3.59
5,40027,0.00,5.60,5.60
5,42005,0.00,12.32,12.29
5,42009,0.00,29.10,29.10
5,43031,0.00,66.91,66.92
5,46005,0.00,91.02,90.98
5,46008,0.00,86.49,86.49
5,46009,0.00,357.87,357.87
5,46033,0.00,200.33,200.34
5,47011,0.00,227.38,227.39
5,48002,0.00,115.05,115.05
5,49022,0.00,76.21,76.26
5,49031,0.00,53.54,53.53
5,49051,0.00,33.07,33.03
5,52031,0.00,-5.52,-5.52
5,190916,0.00,-4.19,-4.19
37,1014,0.00,-1468.06,-1468.06
37,4008,0.00,-39.79,-39.79
37,12021,0.00,-21.92,-21.92
37,12036,0.00,-1928.86,-1928.86
37,12069,0.00,-597.88,-597.88
37,15025,0.00,-475.13,-475.13
37,15033,0.00,-7518.52,-7518.52
37,15044,0.00,-459.36,-459.36
37,15051,0.00,-2023.64,-2023.64
37,20096,0.00,-7518.57,-7518.57
37,20112,0.00,-201.60,-201.60
37,21043,0.00,-1.13,-1.13
37,22024,0.00,-1058.59,-1058.59
37,25025,0.00,-72.75,-72.75
37,27064,0.00,-2765.85,-2765.85
