product_num,name,supplier,family,brand,package
5,Finance Charge,Misc,Misc,Misc,Misc
37,Finance Charge Write off,Misc,Misc,Misc,Misc
40,HH Finance Charge,Misc,Misc,Misc,Misc
41,HH Finance Charge Write off,Misc,Misc,Misc,Misc
101,Coors Banquet 15.5 Gal Keg,MolsonCoors Beverage Company,Coors,Coors Banquet,15.5 Gal Keg
111,Coors Banquet 1/24/12 oz Loose Btl,MolsonCoors Beverage Company,Coors,Coors Banquet,24/12oz NR
112,Coors Banquet 4/6/12 oz Btl,MolsonCoors Beverage Company,Coors,Coors Banquet,4/6/12oz NR
113,Coors Banquet 2/12/12 oz Btl,MolsonCoors Beverage Company,Coors,Coors Banquet,2/12/12oz NR
116,Coors Banquet 4/6/12 oz Can,MolsonCoors Beverage Company,Coors,Coors Banquet,4/6/12oz Can
118,Coors Banquet 2/12/12 oz Can,MolsonCoors Beverage Company,Coors,Coors Banquet,2/12/12oz Can
119,Coors Banquet 1/18/12 oz Can,MolsonCoors Beverage Company,Coors,Coors Banquet,18/12oz Can
120,Coors Banquet 1/24/12 oz Loose Can,MolsonCoors Beverage Company,Coors,Coors Banquet,1/24/12oz Can
121,Coors Banquet 1/30/12 oz Can,MolsonCoors Beverage Company,Coors,Coors Banquet,30/12oz Can
123,Coors Banquet 1/12/24 oz Can,MolsonCoors Beverage Company,Coors,Coors Banquet,1/12/24oz Can
124,Coors Banquet 1/15/16 oz Aluminum Btl,MolsonCoors Beverage Company,Coors,Coors Banquet,15/16oz Btl
127,Coors Banquet 2/9/16 oz Aluminum Btl,MolsonCoors Beverage Company,Coors,Coors Banquet,18/16oz Btl
201,Coors Light 15.5 Gal Keg,MolsonCoors Beverage Company,Coors Light,Coors Light,15.5 Gal Keg
202,Coors Light 7.75 Gal Keg,MolsonCoors Beverage Company,Coors Light,Coors Light,1/4 BBL Keg (7.75 Gal)
206,Coors Light 4/6/7 oz Btl,MolsonCoors Beverage Company,Coors Light,Coors Light,4/6/7oz NR
209,Coors Light 4/6/8 oz Can,MolsonCoors Beverage Company,Coors Light,Coors Light,4/6/8oz Can
212,Coors Light 4/6/12 oz Btl,MolsonCoors Beverage Company,Coors Light,Coors Light,4/6/12oz NR
213,Coors Light 2/12/12 oz Btl,MolsonCoors Beverage Company,Coors Light,Coors Light,2/12/12oz NR
214,Coors Light 1/24/12 oz Loose Btl,MolsonCoors Beverage Company,Coors Light,Coors Light,24/12oz NR
215,Coors Light 1/18/12 oz Btl,MolsonCoors Beverage Company,Coors Light,Coors Light,18/12oz NR
218,Coors Light 4/6/12 oz Can,MolsonCoors Beverage Company,Coors Light,Coors Light,4/6/12oz Can
220,Coors Light 2/12/12 oz Can,MolsonCoors Beverage Company,Coors Light,Coors Light,2/12/12oz Can
221,Coors Light 1/30/12 oz Can,MolsonCoors Beverage Company,Coors Light,Coors Light,30/12oz Can
222,Coors Light 1/24/12 oz Loose Can,MolsonCoors Beverage Company,Coors Light,Coors Light,1/24/12oz Can
223,Coors Light 1/18/12 oz Can,MolsonCoors Beverage Company,Coors Light,Coors Light,18/12oz Can
226,Coors Light 4/6/16 oz Can,MolsonCoors Beverage Company,Coors Light,Coors Light,4/6/16oz Can
227,Coors Light 2/9/16 oz Aluminum Btl,MolsonCoors Beverage Company,Coors Light,Coors Light,18/16oz Btl
228,Coors Light 1/24/16 oz Aluminum Loose Btl,MolsonCoors Beverage Company,Coors Light,Coors Light,24/16oz Btl
229,Coors Light 1/15/22 oz Btl,MolsonCoors Beverage Company,Coors Light,Coors Light,15/22oz NR
231,Coors Light Big 1/18/16 oz Can,MolsonCoors Beverage Company,Coors Light,Coors Light,18/16oz Can
232,Coors Light 1/12/40 oz Btl,MolsonCoors Beverage Company,Coors Light,Coors Light,12/40oz NR
234,Coors Light 1/12/24 oz Can,MolsonCoors Beverage Company,Coors Light,Coors Light,1/12/24oz Can
235,Coors Light 1/15/16 oz Aluminum Btl,MolsonCoors Beverage Company,Coors Light,Coors Light,15/16oz Btl
249,Coors Light 1/36/12 oz Can,MolsonCoors Beverage Company,Coors Light,Coors Light,36/12oz Can
324,Happy Thursday Spiked Refresher Strawberry 1/12/24 oz Can,MolsonCoors Beverage Company,Happy Thursday Spiked Refresher,Happy Thursday Spiked Refresher Strawberry,1/12/24oz Can
325,Happy Thursday Spiked Refresher Variety 2/12/12 oz Can,MolsonCoors Beverage Company,Happy Thursday Spiked Refresher,Happy Thursday Spiked Refresher Variety,2/12/12oz Can
326,Happy Thursday Spiked Raspberry Dragonfruit 2/12/12 oz Can,MolsonCoors Beverage Company,Happy Thursday Spiked Refresher,Happy Thursday Spiked Raspberry Dragonfruit,2/12/12oz Can
401,High Life 15.5 Gal Keg,MolsonCoors Beverage Company,Miller High Life,Miller High Life,15.5 Gal Keg
410,High Life 4/6/12 oz Btl,MolsonCoors Beverage Company,Miller High Life,Miller High Life,4/6/12oz NR
411,High Life 2/12/12 oz Btl,MolsonCoors Beverage Company,Miller High Life,Miller High Life,2/12/12oz NR
412,High Life 1/24/12 oz Loose Btl,MolsonCoors Beverage Company,Miller High Life,Miller High Life,24/12oz NR
413,High Life 4/6/7 oz Btl,MolsonCoors Beverage Company,Miller High Life,Miller High Life,4/6/7oz NR
420,High Life 2/12/12 oz Can,MolsonCoors Beverage Company,Miller High Life,Miller High Life,2/12/12oz Can
421,High Life 1/30/12 oz Can,MolsonCoors Beverage Company,Miller High Life,Miller High Life,30/12oz Can
422,High Life 1/18/12 oz Can,MolsonCoors Beverage Company,Miller High Life,Miller High Life,18/12oz Can
424,High Life 1/12/24 oz Can,MolsonCoors Beverage Company,Miller High Life,Miller High Life,1/12/24oz Can
425,High Life 1/12/32 oz Can,MolsonCoors Beverage Company,Miller High Life,Miller High Life,12/32oz Can
501,Miller Lite 15.5 Gal Keg,MolsonCoors Beverage Company,Lite,Miller Lite,15.5 Gal Keg
502,Miller Lite 7.75 Gal Keg,MolsonCoors Beverage Company,Lite,Miller Lite,1/4 BBL Keg (7.75 Gal)
507,Miller Lite 2/12/7.5 oz Can,MolsonCoors Beverage Company,Lite,Miller Lite,2/12/7.5oz Can
508,Miller Lite 1/18/16 oz Can,MolsonCoors Beverage Company,Lite,Miller Lite,18/16oz Can
510,Miller Lite 4/6/12 oz Btl,MolsonCoors Beverage Company,Lite,Miller Lite,4/6/12oz NR
511,Miller Lite 1/24/12 oz Loose Btl,MolsonCoors Beverage Company,Lite,Miller Lite,24/12oz NR
512,Miller Lite 2/12/12 oz Btl,MolsonCoors Beverage Company,Lite,Miller Lite,2/12/12oz NR
513,Miller Lite 1/18/12 oz Btl,MolsonCoors Beverage Company,Lite,Miller Lite,18/12oz NR
514,Miller Lite 1/15/16 oz Aluminum Btl,MolsonCoors Beverage Company,Lite,Miller Lite,15/16oz Btl
515,Miller Lite 1/24/16 oz Aluminum Loose Btl,MolsonCoors Beverage Company,Lite,Miller Lite,24/16oz Btl
516,Miller Lite 2/9/16 oz Aluminum Btl,MolsonCoors Beverage Company,Lite,Miller Lite,18/16oz Btl
520,Miller Lite 2/12/12 oz Can,MolsonCoors Beverage Company,Lite,Miller Lite,2/12/12oz Can
521,Miller Lite 1/30/12 oz Can,MolsonCoors Beverage Company,Lite,Miller Lite,30/12oz Can
522,Miller Lite 1/24/12 oz Loose Can,MolsonCoors Beverage Company,Lite,Miller Lite,1/24/12oz Can
523,Miller Lite 1/18/12 oz Can,MolsonCoors Beverage Company,Lite,Miller Lite,18/12oz Can
524,Miller Lite 4/6/12 oz Can,MolsonCoors Beverage Company,Lite,Miller Lite,4/6/12oz Can
526,Miller Lite 4/6/16 oz Can,MolsonCoors Beverage Company,Lite,Miller Lite,4/6/16oz Can
527,Miller Lite 1/12/24 oz Can,MolsonCoors Beverage Company,Lite,Miller Lite,1/12/24oz Can
529,Miller Lite 4/6/7 oz Btl,MolsonCoors Beverage Company,Lite,Miller Lite,4/6/7oz NR
533,Miller Lite 4/6/8 oz Can,MolsonCoors Beverage Company,Lite,Miller Lite,4/6/8oz Can
534,Miller Lite 2/12/16 oz Can,MolsonCoors Beverage Company,Lite,Miller Lite,2/12/16oz Can
535,Miller Lite 1/36/12 oz Can,MolsonCoors Beverage Company,Lite,Miller Lite,36/12oz Can
562,Milwaukee Best Ice 1/30/12 oz Can,MolsonCoors Beverage Company,Milwaukee's Best Ice,Milwaukee's Best Ice,30/12oz Can
563,Milwaukee Best Ice 1/12/24 oz Can,MolsonCoors Beverage Company,Milwaukee's Best Ice,Milwaukee's Best Ice,1/12/24oz Can
564,Milwaukee Best Ice 1/12/32 oz Can,MolsonCoors Beverage Company,Milwaukee's Best Ice,Milwaukee's Best Ice,12/32oz Can
572,Milwaukee Best Light 1/30/12 oz Can,MolsonCoors Beverage Company,Milwaukee's Best Light,Milwaukee's Best Light,30/12oz Can
590,Olde English 1/12/40 oz Btl,MolsonCoors Beverage Company,Old English,Olde English 800,12/40oz NR
591,Olde English 1/12/24 oz Can,MolsonCoors Beverage Company,Old English,Olde English 800,1/12/24oz Can
593,Olde English 4/6/16 oz Can,MolsonCoors Beverage Company,Old English,Olde English 800,4/6/16oz Can
616,Keystone Light 1/30/12 oz Can,MolsonCoors Beverage Company,Keystone,Keystone Light,30/12oz Can
618,Keystone Light 1/12/24 oz Can,MolsonCoors Beverage Company,Keystone,Keystone Light,1/12/24oz Can
619,Keystone Light Apple 2/15/12 oz Can,MolsonCoors Beverage Company,Keystone,Keystone Light Apple,2/15/12oz Can
622,Keystone Ice 1/12/24 oz Can,MolsonCoors Beverage Company,Keystone,Keystone Ice,1/12/24oz Can
650,Topo Chico Hard Seltzer Variety 2/12/12 oz Can,MolsonCoors Beverage Company,Topo Chico,Topo Chico Variety Pack,2/12/12oz Can
652,Topo Chico Hard Seltzer Strawberry Guava 1/12/24 oz Can,MolsonCoors Beverage Company,Topo Chico,Topo Chico Strawberry Guava,1/12/24oz Can
653,Topo Chico Margarita Max 1/12/24 oz Can,MolsonCoors Beverage Company,Topo Chico,Topo Chico Margarita,1/12/24oz Can
654,Topo Chico Margarita Variety 12oz 12Pk Can,MolsonCoors Beverage Company,Topo Chico,Topo Chico Margarita,2/12/12oz Can
658,Topo Chico Hard Seltzer Oasis Cherry 1/12/24 oz Can,MolsonCoors Beverage Company,Topo Chico,Topo Chico Hard Seltzer Oasis Cherry,1/12/24oz Can
659,Topo Chico Margarita Variety 2/12/12 oz Can,MolsonCoors Beverage Company,Topo Chico,Topo Chico Margarita Variety,2/12/12oz Can
660,Topo Chico Margarita 4/6/12 oz Btl,MolsonCoors Beverage Company,Topo Chico,Topo Chico Margarita,4/6/12oz Can
661,Topo Chico Margarita Max Strawberry Hibiscus 1/12/24 oz Can,MolsonCoors Beverage Company,Topo Chico,Topo Chico Margarita Max Strawberry Hibiscus,1/12/24oz Can
663,Montauk Box of Montauk 2/12/12 oz Can,Montauk Brewing Co,Montauk,Montauk Box of Montauk,2/12/12oz Can
664,Montauk Cold Day IPA 4/6/12 oz Can,Montauk Brewing Co,Montauk,Montauk Cold Day IPA,4/6/12oz Can
665,Montauk Cold Day IPA 15.5 Gal Keg,Montauk Brewing Co,Montauk,Montauk Cold Day IPA,15.5 Gal Keg
666,Montauk Cold Day IPA 5.2 Gal Keg,Montauk Brewing Co,Montauk,Montauk Cold Day IPA,5.2 Gal Keg
667,Montauk Wave Chaser IPA 15.5 Gal Keg,Montauk Brewing Co,Montauk,Montauk Wave Chaser IPA,15.5 Gal Keg
668,Montauk Belgian White 5.2 Gal Keg,Montauk Brewing Co,Montauk,Montauk Belgian White,1/6 BBL Keg (5.2 Gal)
669,Montauk Wave Chaser IPA 5.2 Gal Keg,Montauk Brewing Co,Montauk,Montauk Wave Chaser IPA,5.2 Gal Keg
670,Montauk Belgian White 15.5 Gal Keg,Montauk Brewing Co,Montauk,Montauk Belgian White,15.5 Gal Keg
671,Montauk Watermelon Session Ale 15.5 Gal Keg,Montauk Brewing Co,Montauk,Montauk Watermelon Session Ale,15.5 Gal Keg
672,Montauk Watermelon Session Ale 5.2 Gal Keg,Montauk Brewing Co,Montauk,Montauk Watermelon Session Ale,1/6 BBL Keg (5.2 Gal)
673,Montauk Belgian White 4/6/12 oz Can,Montauk Brewing Co,Montauk,Montauk Belgian White,4/6/12oz Can
674,Montauk Pumpkin Ale 4/6/12 oz Can,Montauk Brewing Co,Montauk,Montauk Pumpkin Ale,4/6/12oz Can
675,Montauk Pumpkin Ale 15.5 Gal Keg,Montauk Brewing Co,Montauk,Montauk Pumpkin Ale,15.5 Gal Keg
676,Montauk Pumpkin Ale 5.2 Gal Keg,Montauk Brewing Co,Montauk,Montauk Pumpkin Ale,1/6 BBL Keg (5.2 Gal)
677,Montauk Wave Chaser IPA 4/6/12 oz Can,Montauk Brewing Co,Montauk,Montauk Wave Chaser IPA,4/6/12oz Can
679,Montauk Wave Chaser IPA 2/12/12 oz Can,Montauk Brewing Co,Montauk,Montauk Wave Chaser IPA,2/12/12oz Can
684,Montauk Driftwood Ale 4/6/12 oz Can,Montauk Brewing Co,Montauk,Montauk Driftwood Ale,4/6/12oz Can
685,Montauk Driftwood Ale 15.5 Gal Keg,Montauk Brewing Co,Montauk,Montauk Driftwood Ale,15.5 Gal Keg
686,Montauk Driftwood Ale 5.2 Gal Keg,Montauk Brewing Co,Montauk,Montauk Driftwood Ale,5.2 Gal Keg
687,Montauk Juicy IPA 6/4/16 oz Can,Montauk Brewing Co,Montauk,Montauk Juicy IPA,6/4/16oz Can
688,Montauk Juicy IPA 15.5 Gal Keg,Montauk Brewing Co,Montauk,Montauk Juicy IPA,15.5 Gal Keg
689,Montauk Juicy IPA 5.2 Gal Keg,Montauk Brewing Co,Montauk,Montauk Juicy IPA,5.2 Gal Keg
692,Montauk Wave Chaser IPA 1/15/19.2 oz Can,Montauk Brewing Co,Montauk,Montauk Wave Chaser IPA,1/15/19.2oz Can
693,Montauk Summer Ale 4/6/12 oz Can,Montauk Brewing Co,Montauk,Montauk Summer Ale,4/6/12oz Can
694,Montauk Summer Ale 2/12/12 oz Can,Montauk Brewing Co,Montauk,Montauk Summer Ale,2/12/12oz Can
695,Montauk Summer Ale 1/15/19.2 oz Can,Montauk Brewing Co,Montauk,Montauk Summer Ale,1/15/19.2oz Can
696,Montauk Project 4:20 IPA 4/6/12 oz Can,Montauk Brewing Co,Montauk,Montauk Project 4:20 IPA,4/6/12oz Can
697,Montauk Watermelon Session 4/6/12 oz Can,Montauk Brewing Co,Montauk,Montauk Watermelon Session Ale,4/6/12oz Can
698,Montauk Surf Beer Golden Ale 4/6/12 oz Can,Montauk Brewing Co,Montauk,Montauk Surf Beer Golden Ale,4/6/12oz Can
699,Montauk Surf Beer Golden Ale 15.5 Gal Keg,Montauk Brewing Co,Montauk,Montauk Surf Beer Golden Ale,15.5 Gal Keg
700,Montauk Surf Beer Golden Ale 5.2 Gal Keg,Montauk Brewing Co,Montauk,Montauk Surf Beer Golden Ale,5.2 Gal Keg
710,Miller Genuine Draft 4/6/12 oz Btl,MolsonCoors Beverage Company,Miller Genuine Draft,Miller Genuine Draft (MGD),4/6/12oz NR
711,Miller Genuine Draft 1/24/12 oz Loose Btl,MolsonCoors Beverage Company,Miller Genuine Draft,Miller Genuine Draft (MGD),24/12oz NR
712,Miller Genuine Draft 2/12/12 oz Btl,MolsonCoors Beverage Company,Miller Genuine Draft,Miller Genuine Draft (MGD),2/12/12oz NR
720,Miller Genuine Draft 2/12/12 oz Can,MolsonCoors Beverage Company,Miller Genuine Draft,Miller Genuine Draft (MGD),2/12/12oz Can
721,Miller Genuine Draft 1/30/12 oz Can,MolsonCoors Beverage Company,Miller Genuine Draft,Miller Genuine Draft (MGD),30/12oz Can
727,Miller Genuine Draft 1/12/24 oz Can,MolsonCoors Beverage Company,Miller Genuine Draft,Miller Genuine Draft (MGD),1/12/24oz Can
760,Miller Extra Light 2/12/12 oz Btl,MolsonCoors Beverage Company,Miller Extra Light,Miller Extra Light,2/12/12oz NR
761,Miller Extra Light 4/6/12 oz Btl,MolsonCoors Beverage Company,Miller Extra Light,Miller Extra Light,4/6/12oz NR
762,Miller Extra Light 1/18/12 oz Can,MolsonCoors Beverage Company,Miller Extra Light,Miller Extra Light,18/12oz Can
763,Miller Extra Light 1/30/12 oz Can,MolsonCoors Beverage Company,Miller Extra Light,Miller Extra Light,30/12oz Can
