Sales Rep Assigned / Supplier / Brand Family,Qualifier Brands,Case Equiv   6/1/2025 - 8/31/2025,Case Equiv   6/1/2026 - 8/31/2026,( Case Equiv   6/1/2026 - 8/31/2026) Goals,( Case Equiv   6/1/2026 - 8/31/2026) % of Goals,Case Equiv Unit Difference
Total,,1685498,211138,,0%,-1474360
Alex Rodriguez,,569,127,,0%,-441
Sapporo,Amplify: Sapporo,569,127,,0%,-441
Sapporo,,569,127,,0%,-441
Alisa Acciardi,,3040,292,,0%,-2748
Boston Beer Company,Amplify: Dogfish Head,6,,,0%,-6
Dogfish Head Beer,,6,,,0%,-6
Boston Beer Company,Qualifier: Truly / Twisted Tea,33,,45,0%,-33
Twisted Tea,,33,,,0%,-33
Cape May,Amplify: Cape May,8,,,0%,-8
Cape May,,8,,,0%,-8
Constellation Brands,Amplify: Chelada / Victoria / Pacifico,90,3,,0%,-87
Modelo Chelada,,51,3,,0%,-48
Pacifico,,34,,,0%,-34
Victoria,,5,,,0%,-5
Constellation Brands,Qualifier: Modelo/Corona,454,27,453,6.0%,-427
Corona Extra,,191,14,,0%,-177
Modelo Especial,,263,13,,0%,-250
DG Yuengling Inc,Amplify: Yuengling Light / Yuengling Flight,3,,,0%,-3
Yuengling Flight,,2,,,0%,-2
Yuengling Light Lager,,1,,,0%,-1
DG Yuengling Inc,Qualifier: Yuengling Lager,19,3,,0%,-16
Yuengling Lager,,19,3,,0%,-16
Heineken USA,Amplify: Heineken Light / Heineken 0.0,27,,,0%,-27
Heineken 0.0,,8,,,0%,-8
Heineken Light,,19,,,0%,-19
Heineken USA,Qualifier: Heineken USA,158,2,149,1.3%,-156
Heineken USA,,158,2,,0%,-156
Mark Anthony,Amplify: Cayman Jack / Mike's Harder / MXD,5,,,0%,-5
Cayman Jack,,5,,,0%,-5
Mark Anthony,Qualifier: White Claw,89,11,80,13.8%,-77
White Claw,,89,11,,0%,-77
MolsonCoors Beverage Company,Amplify: Coors / Peroni,54,,,0%,-54
Coors,,41,,,0%,-41
Peroni,,13,,,0%,-13
MolsonCoors Beverage Company,Qualifier: Coors Light/Miller Lite/Blue Moon,492,9,,0%,-483
Blue Moon,,25,,,0%,-25
Coors Light,,262,,,0%,-262
Lite,,204,9,,0%,-195
New Belgium Brewing Company,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,31,3,,0%,-28
Fat Tire Family,,8,,,0%,-8
Voodoo Family,,23,3,,0%,-20
Sapporo,Amplify: Sapporo,1570,234,,0%,-1336
Sapporo,,1570,234,,0%,-1336
Allison Scott,,29187,4263,,0%,-24924
Bell's,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,1,,,0%,-1
Bell's,,1,,,0%,-1
Boston Beer Company,Amplify: Dogfish Head,470,62,,0%,-408
Dogfish Head Beer,,463,62,,0%,-401
Dogfish Head Spirits,,7,,,0%,-7
Boston Beer Company,Qualifier: Truly / Twisted Tea,254,68,265,25.7%,-186
Truly,,10,34,,0%,24
Twisted Tea,,244,34,,0%,-210
