Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,City,County,Distribution Area,Buyer Count   2026,Cases   2026
John Neukum,31019,Bj's Warehouse E Rutherfo,300 Rt 17 N,East Rutherford,Bergen,Bergen,1.00,232048.00
Derrick Laws,23004,Shop Rite Wines/Spirits,895 Paulison Ave,Clifton,Passaic,Passaic,1.00,186098.77
Derrick Laws,20126,Scheps Discount Bar/Liq,152 23rd Avenue,Paterson,Passaic,Passaic,1.00,169480.89
Chris Payton,46033,Discount Lqr(A) Outlet,15 Grand Ave,Palisades Park,Bergen,Bergen,1.00,162859.85
Jim Heaney,14001,Wine & Bev. Depot (A),823 Riverview Dr N,Totowa,Passaic,Passaic,1.00,150504.97
Pablo Lopez,20014,Bombolon Liquor & Grocery,192 E 16th St,Paterson,Passaic,Passaic,1.00,110867.77
Klejdi Lamo,190216,House of Wine & Liquor,308 E Wootton St,Boonton,Morris,Morris 1,1.00,92498.91
Dan Lagala,44006,Garden St. Wine & Liquor,461 Palisade Ave,Cliffside Park,Bergen,Bergen,1.00,89184.58
Derrick Laws,22006,Ant's Bar & Liquors,16 Mary Street,Paterson,Passaic,Passaic,1.00,80227.95
John Neukum,24010,Western Bev 21088 Clift,20 Bridewell Place,Clifton,Passaic,Passaic,1.00,80003.00
Dan Lagala,46009,Banner Delicatessen,400 Broad Ave,Palisades Park,Bergen,Bergen,1.00,77507.81
Dave Ehlers,14007,Total Wine & More (Totowa),465 US Highway 46,Totowa,Passaic,Passaic,1.00,74064.00
Dave Ehlers,58001,Total Wine & More (River Edge),1001 Main St,River Edge,Bergen,Bergen,1.00,71785.00
Pablo Lopez,21024,Altiero Liquors,498 Ellison St.,Paterson,Passaic,Passaic,1.00,63576.01
Phil Ernst,50003,"Agave Liquor, Wine & Spirits",74 W Main St,Bogota,Bergen,Bergen,1.00,51424.38
Pablo Lopez,20022,Caraballo's,495 Market Street,Paterson,Passaic,Passaic,1.00,51120.90
John Neukum,12060,Costco Whlse V#32366-Wayn,149 Rt. 23,Wayne,Passaic,Passaic,1.00,51086.00
Phil Ernst,20106,Super Wine Warehse(P)Pate,42 E 30th St,Paterson,Passaic,Passaic,1.00,50573.00
John Neukum,39016,NB Liquors,2 Teterboro Landing Dr,Teterboro,Bergen,Bergen,1.00,50092.00
Shane Barreca,92011,Bottle King (A) Ramsey,476 Rt 17 N,Ramsey,Bergen,Bergen,1.00,44746.00
Chris Payton,47011,Ridgefield Deli & Liq,284 Teaneck Road,Ridgefield Park,Bergen,Bergen,1.00,44545.32
Javier Melo,22024,Edwards (P) Wine & Liq,910 Main Street,Paterson,Passaic,Passaic,1.00,44151.21
Mike Ast,12011,Bottle King (A) Wayne,1950 NJ-23,Wayne,Passaic,Passaic,1.00,38922.00
Pablo Lopez,20042,Midtown Liquors,274 Broadway,Paterson,Passaic,Passaic,1.00,38646.33
Javier Melo,27059,D'bar Liquors (P),898 Main Ave,Passaic,Passaic,Passaic,1.00,37223.24
Shane Barreca,60001,Bottle King (A) Dumont,95 Washington Ave,Dumont,Bergen,Bergen,1.00,36261.00
Derrick Laws,22067,Gonzalez Liq & Bar(A),105 Park Ave,Paterson,Passaic,Passaic,1.00,36092.82
