Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,City,County,Distribution Area,Buyer Count   2026,Cases   2026
Javier Melo,27076,El Asadero Mexican Grill (Passaic),305 Passaic St,Passaic,Passaic,Passaic,1.00,27775.54
Javier Melo,27077,Mojito Bar,159 Market St,Passaic,Passaic,Passaic,1.00,24893.00
Javier Melo,27146,Foxes Place,201 Parker Ave,Passaic,Passaic,Passaic,1.00,23315.23
Pablo Lopez,21038,Freddie's Dugout,16 3rd Ave,Paterson,Passaic,Passaic,1.00,19995.22
Pablo Lopez,25046,Jay Aldo's (Z) Bar & Pizz,40 Highland Ave,Clifton,Passaic,Passaic,1.00,18250.80
Allison Scott,21043,Duffy's Tavern (Z),856 River Street,Paterson,Passaic,Passaic,1.00,18188.72
Javier Melo,27102,Fragancia Sports Bar,161 8th St,Passaic,Passaic,Passaic,1.00,16681.11
Nick Melissari,28019,Turf and Barrel,584 Ridge Rd,North Arlington,Bergen,Bergen,1.00,16665.08
Anthony Palmisano,190902,Betsy Ross Diner,5708 Berkshire Valley Rd,Oak Ridge,Morris,Morris 1,1.00,16019.05
Nick Melissari,78017,El Asadero Mexican Grill (Rochelle Park),375 W. Passaic St.,Rochelle Park,Bergen,Bergen,1.00,13814.15
Dan Lagala,43029,El Tio Taco Ii,332 Bergen Blvd,Fairview,Bergen,Bergen,1.00,12524.32
Javier Melo,20061,Seguidilla 56 Lounge & Liquors,227 Park Ave,Paterson,Passaic,Passaic,1.00,12324.00
Chris Politano,31037,Delaware North Met Life Stadium,102 Route 120,East Rutherford,Bergen,Bergen,1.00,10761.00
Pablo Lopez,22021,Super Korona (Z) Bar,991 Madison Ave,Paterson,Passaic,Passaic,1.00,10128.30
Pablo Lopez,21014,Ranchito Mi Peru,487 21st Ave,Paterson,Passaic,Passaic,1.00,8714.94
Anthony Palmisano,2004,Sam's Bar and Grill,15 Greenwood Lake Turnpik,Ringwood,Passaic,Passaic-FF,1.00,8591.86
Paul Mclaughlin,50029,La Tequilera Restaurant,293 Queen Anne Rd,Teaneck,Bergen,Bergen,1.00,8562.62
Paul Mclaughlin,39008,Blush Gentleman's Club,2 S Main St,South Hackensac,Bergen,Bergen,1.00,8321.89
Allison Scott,10007,Bardis (P),149 Newark Pompton Tpke,Pequannock,Morris,Morris 3,1.00,8110.82
Nick Melissari,49022,El asadero Mexican Grill (Fort Lee),2052 Hudson St,Fort Lee,Bergen,Bergen,1.00,7935.68
Javier Melo,20055,Paruta's (A),89 Market St,Paterson,Passaic,Passaic,1.00,7468.50
Paul Mclaughlin,56011,International Bar/Rest,96 S Washington Ave,Bergenfield,Bergen,Bergen,1.00,6594.52
Brian Sengebush,190914,Colossal Restaurant,392 N Main St,Wharton,Morris,Morris 1,1.00,6480.07
Phil Ernst,76021,Saddle Brook Liquor & Bar,383 Market St,Saddle Brook,Bergen,Bergen,1.00,6319.33
Anthony Palmisano,231307,Skylands Wine& Beer Garden,447 Rt 284,Wantage,Sussex,Sussex,1.00,5959.24
Nick Melissari,28031,Shawn's Crazy Saloon,350 Belleville Turnpike,North Arlington,Hudson,Bergen,1.00,5925.17
Derrick Laws,20058,Krystal Bar(P) & Liqs.,123 Highland St,Paterson,Passaic,Passaic,1.00,5621.00
Javier Melo,27009,La Rancherita,22 Jackson St,Passaic,Passaic,Passaic,1.00,5457.98
Allison Scott,14006,46 Lounge (P),300 Us-46,Totowa,Passaic,Passaic,1.00,5173.80
Robin Feldman,40007,Elks Post 153 (Z),351 1st St,Hackensack,Bergen,Bergen,1.00,5073.38
Javier Melo,26003,La Casona Cafe Restaurant Bar,829 Main Ave,Passaic,Passaic,Passaic,1.00,4342.00
Javier Melo,27001,Fiesta Night Club(P),115 President St,Passaic,Passaic,Passaic,1.00,4285.00
Allison Scott,3002,The Celtic Knot,72 Haskell Ave,Haskell,Passaic,Passaic-FF,1.00,4231.09
