Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,City,County,Distribution Area,Buyer Count   2026,Cases   2026
Jaime Colonna,170021,Jersey City Buy Rite (A),575 Manila Ave,Jersey City,Hudson,Hudson,1.00,29814.95
Hakan Sadik,150082,Liquorland (South Orange),25 Valley Street,South Orange,Essex,Essex,1.00,19581.12
Alex Rodriguez,250036,Watchung Liquor (P),131 Park Ave,Plainfield,Union,Union,1.00,17772.35
Jaime Colonna,171014,Giannone Wines & Liq.(P),55 Riverwalk Pl,West New York,Hudson,Hudson,1.00,14984.70
Dylan Rubino,178000,Wine Spot,2321 Kennedy Blvd,North Bergen,Hudson,Hudson,1.00,5143.30
Michael Harboy,150008,Total Wine & More (West Orange),495 Prospect Ave,West Orange,Essex,Essex,1.00,4179.00
Alisa Acciardi,150052,Bottle King Glen Ridge,710 Bloomfield Ave,Glen Ridge,Essex,Essex,1.00,4005.00
Jaime Colonna,170300,Ray's Liquors,266 Martin Luther King Dr,Jersey City,Hudson,Hudson,1.00,3827.64
Jaime Colonna,170045,Cork Wines & Spirits (Hoboken),1450 Washington St,Hoboken,Hudson,Hudson,1.00,3485.23
Jaime Colonna,170076,Grand View Wine & Liquor,665-667 Grand St,Jersey City,Hudson,Hudson,1.00,3481.27
Andrew Lundy,250071,Total Wine & More (Union),950 Springfield Rd,Union,Union,Union,1.00,3258.00
Alisa Acciardi,171016,Wine Warehouse (P) (Bayonne),1 Le Fante Way,Bayonne,Hudson,Hudson,1.00,3143.00
Andrew Lundy,250803,Witty's Fine Wine & Spirt,870 St. George Ave,Rahway,Union,Union,1.00,3024.00
Jaime Colonna,170020,Hoboken Beer & Soda,599 Newark St,Hoboken,Hudson,Hudson,1.00,2264.00
Hakan Sadik,150055,Bottle King Livingston,343 W.Mount Pleasant Ave,Livingston,Essex,Essex,1.00,2206.00
Alisa Acciardi,170053,Bbb Liquors(Costco),19 Goldsborough Dr,Bayonne,Hudson,Hudson,1.00,2158.00
Hakan Sadik,150132,Boot Leggers W/L,528 Central Ave,East Orange,Essex,Essex,1.00,2034.00
Hakan Sadik,150076,Rapp Beer & Soda (A),1000 Clinton Ave,Irvington,Essex,Essex,1.00,1940.00
Michael Harboy,150002,Shoprite Wine & Spirits,478 Bloomfield Ave,Caldwell,Essex,Essex,1.00,1859.00
Hakan Sadik,150135,Home Liquors(520 East Orange),520 Main St,East Orange,Essex,Essex,1.00,1757.00
Hakan Sadik,150089,Buy Rite Wine & Liquor,400 Valley St,South Orange,Essex,Essex,1.00,1754.00
Andrew Lundy,250133,Bayway World Of Liquor,639 Bayway Ave,Elizabeth,Union,Union,1.00,1641.00
Jaime Colonna,173031,Sparrow's Wine & Liq(P) (1224 Hoboken),1224 Shipyard Lane,Hoboken,Hudson,Hudson,1.00,1640.00
Hakan Sadik,150615,Home Liquors(1277 Irvington),1277 Springfield Ave,Irvington,Essex,Essex,1.00,1614.00
Dylan Rubino,178020,STOP & GO LIQUORS,8101 Tonnelle Ave,North Bergen,Hudson,Hudson,1.00,1594.00
Dylan Rubino,170909,A2Z Wine Club,101 Plaza Center,Secaucus,Hudson,Hudson,1.00,1555.60
John Neukum,201026,Sam's Club (Secaucus),300 Park Plaza Dr,Secaucus,Hudson,Hudson,1.00,1501.00
Alisa Acciardi,170101,High Spirits Of Bayonne,816-818 Broadway,Bayonne,Hudson,Hudson,1.00,1491.00
Dylan Rubino,170087,Liquor Mart (Jersey City),393 Danforth Avenue,Jersey City,Hudson,Hudson,1.00,1399.00
Andrew Lundy,250440,Metro Liquor (Linden),1179 W. St George Ave,Linden,Union,Union,1.00,1294.00
Alisa Acciardi,171001,Bridgeview Liquors,300 Rte 440 South,Bayonne,Hudson,Hudson,1.00,1264.00
Andrew Lundy,250011,Shop Rite of Westfield,333 South Ave E,Westfield,Union,Union,1.00,1175.00
Andrew Lundy,250048,Park Beverage,1923 Westfield Ave,Scotch Plains,Union,Union,1.00,1156.00
Jaime Colonna,170018,ShopRite Wines & Spirits of Hoboken,900 Madison St,Hoboken,Hudson,Hudson,1.00,1136.00
Hakan Sadik,150624,Wine Barrel (P),1886 Springfield Ave,Maplewood,Essex,Essex,1.00,1134.00
Michael Harboy,150001,Verona Wine Cellar,360 Bloomfield Ave,Verona,Essex,Essex,1.00,1080.00
Jaime Colonna,170137,Giannone Wine & Liq(#2),305 River St,Hoboken,Hudson,Hudson,1.00,1062.00
Andrew Lundy,250134,Shoppers Paradise Liq,551 N Broad St,Elizabeth,Union,Union,1.00,1054.00
Alisa Acciardi,170205,Buy-Rite Liquors,220 Harrison Ave,Kearny,Hudson,Hudson,1.00,1045.00
Jaime Colonna,170179,Shop Rite/Metro Plaza,400 Luis Marin Blvd,Jersey City,Hudson,Hudson,1.00,1031.00
Dylan Rubino,170049,Cosmo Liquors & Grocery,402 Pacific Avenue,Jersey City,Hudson,Hudson,1.00,1017.40
Dylan Rubino,170031,City Liquors,321 Stadium Plaza,Jersey City,Hudson,Hudson,1.00,999.00
Hakan Sadik,152002,Home Wine & Liquor (224 Newark),224 Elizabeth Ave,Newark,Essex,Essex,1.00,989.00
Hakan Sadik,150173,Bloomfield Buyrite,35 Lackawanna Pl,Bloomfield,Essex,Essex,1.00,988.50
Michael Harboy,201048,ShopRite of West Caldwell,900 Bloomfield Avenue,West Caldwell,Essex,Essex,1.00,981.00
Alisa Acciardi,171312,Shop Rite Wine & Spirits Kearny,98 Passaic Ave,Kearny,Hudson,Hudson,1.00,946.00
Jaime Colonna,170036,Cork Wines & Spirits (Harrison),399 Somerset St.,Harrison,Hudson,Hudson,1.00,942.28
Hakan Sadik,150154,Toast Of The Town,283 Scotland Rd,Orange,Essex,Essex,1.00,906.00
Alex Rodriguez,250128,Liquor Depot,435 Rahway Ave,Elizabeth,Union,Union,1.00,889.92
Dylan Rubino,170030,International Liqs (P),126 43rd Street,Union City,Hudson,Hudson,1.00,856.00
Hakan Sadik,150221,Jonathan's Liquor Store,263 Central Ave,East Orange,Essex,Essex,1.00,838.00
Andrew Lundy,250012,Peterson's Wine Unltd,1120 South Ave W,Westfield,Union,Union,1.00,837.00
Andrew Lundy,120079,U S 1 Buy Rite (A),771-773 Edgar Rd,Elizabeth,Union,Union,1.00,796.00
Michael Harboy,150018,Cedar Grove Liq (P),597 Pompton Ave,Cedar Grove,Essex,Essex,1.00,790.65
Hakan Sadik,150618,Home Liquors(641 Newark),641 Springfield Ave,Newark,Essex,Essex,1.00,790.00
Dylan Rubino,170202,Golden Liquors (P),7119-21 Bergen Line Ave,North Bergen,Hudson,Hudson,1.00,772.00
Hakan Sadik,150603,Quality Liquors,267 South Orange Ave,Newark,Essex,Essex,1.00,771.00
Alisa Acciardi,150130,Seabra Liquors,83 Wilson Ave,Newark,Essex,Essex,1.00,755.00
Hakan Sadik,150063,Victory Wine & Liquor,457 Central Ave,East Orange,Essex,Essex,1.00,748.00
Hakan Sadik,150614,International Liquor,1070 Springfield Ave,Irvington,Essex,Essex,1.00,747.00
Alisa Acciardi,171403,ShopRite Wines & Spirits of Bayonne,567 Avenue C,Bayonne,Hudson,Hudson,1.00,739.00
Jaime Colonna,170068,Central Ave Liquors,210-212 Central Ave,Jersey City,Hudson,Hudson,1.00,734.00
Andrew Lundy,250091,Denny's Liquors,600 East Jersey St.,Elizabeth,Union,Union,1.00,730.00
Dylan Rubino,170086,Bottles Jersey City,564 West Side Avenue,Jersey City,Hudson,Hudson,1.00,721.10
Michael Harboy,150100,Angelbeck's,621 Valley Rd,Montclair,Essex,Essex,1.00,713.00
Andrew Lundy,250066,Fenrose Wine & Liq,431 W. Front St,Plainfield,Union,Union,1.00,701.00
Andrew Lundy,250087,House of Wine & Liquor Westfield,560 North Ave. East,Westfield,Union,Union,1.00,700.00
Hakan Sadik,150183,Home Liquors(773 Newark),773 South Orange Ave,Newark,Essex,Essex,1.00,700.00
Andrew Lundy,250006,Dittrick's W&L (A),2 North Ave,Garwood,Union,Union,1.00,691.00
Andrew Lundy,250027,Wine Anthology (A),1075 Raritan Rd,Clark,Union,Union,1.00,690.00
John O'Donoghue,250044,Vine Republic (Berkeley Height),500 Springfield Ave,Berkeley Heights,Union,Union,1.00,675.00
Dylan Rubino,171327,Bergenline Liquor (Z),3819 Bergenline Avenue,Union City,Hudson,Hudson,1.00,663.40
Dylan Rubino,170099,Columbia Park Liquors,3131 John F Kennedy Blvd,North Bergen,Hudson,Hudson,1.00,659.00
Hakan Sadik,150617,Irvington 876,876 Springfield Ave,Irvington,Essex,Essex,1.00,657.00
Dylan Rubino,170029,Hollywood Liqs (P),6006 Park Ave,West New York,Hudson,Hudson,1.00,656.00
Alisa Acciardi,150109,Kelly's Liquors,726 Washington Ave,Belleville,Essex,Essex,1.00,652.00
Hakan Sadik,150668,Chancellor Irvington,580 Chancellor Ave,Irvington,Essex,Essex,1.00,647.00
Jaime Colonna,173032,Sparrows Wine & Liq (P) (126 Hoboken),126 Washington St,Hoboken,Hudson,Hudson,1.00,642.00
Alisa Acciardi,150016,Nutley Wine Shop,558 N Franklin Ave,Nutley,Essex,Essex,1.00,637.00
