Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,City,County,Distribution Area,Buyer Count   2026,Cases   2026
Hakan Sadik,150096,Prudential Center,165 Mulberry St.,Newark,Essex,Essex,1.00,6671.00
Dylan Rubino,170293,Dagda,123 Newark Ave.,Jersey City,Hudson,Hudson,1.00,3374.14
Alisa Acciardi,150302,The Blue Steel Pizza Co.,285 Glenwood Ave,Bloomfield,Essex,Essex,1.00,3015.20
Jaime Colonna,170133,The Ainsworth,310 Sinatra Drive,Hoboken,Hudson,Hudson,1.00,1271.00
Hakan Sadik,150245,Levy @ The Prudential Center,165 Mulberry St.,Newark,Essex,Essex,1.00,1191.00
Hakan Sadik,150054,Mad For Chicken Newark,224 Market St,Newark,Essex,Essex,1.00,908.00
Alex Rodriguez,250190,Frenchys Bar & Grill,545 W. Westfield Ave,Roselle Park,Union,Union,1.00,750.00
Jaime Colonna,170235,Lucky 7 Tavern,322 2nd St.,Jersey City,Hudson,Hudson,1.00,726.00
Jaime Colonna,170282,The Hoboken Biergarten,1422 Grand Street,Hoboken,Hudson,Hudson,1.00,680.00
Jaime Colonna,178011,The Highwood,500 Ave @ Port Imperial,Weehawken,Hudson,Hudson,1.00,559.00
Jaime Colonna,170008,Zeppelin Hall (Z),88 Liberty View Drive,Jersey City,Hudson,Hudson,1.00,491.00
Jaime Colonna,170469,Pier 13,1301 Sinatra Driver North,Hoboken,Hudson,Hudson,1.00,421.00
Jaime Colonna,170471,Union Hall,306 Sinatra Drive,Hoboken,Hudson,Hudson,1.00,410.50
Alex Rodriguez,250043,Nugents Tavern (P),844 Newark Ave,Elizabeth,Union,Union,1.00,383.00
Jaime Colonna,170059,Mulligan's (P),159 1st St,Hoboken,Hudson,Hudson,1.00,366.00
Dylan Rubino,170138,Light Horse Tavern (A),199 Washington Street,Jersey City,Hudson,Hudson,1.00,360.00
Alex Rodriguez,150641,Otg Management Ewr,1 Terminal C Newark Liberty or,Newark,Essex,Essex,1.00,266.00
Andrew Lundy,250097,Riverside Inn,56 North Ave East,Cranford,Union,Union,1.00,234.00
