On-Off Premise,Supplier,Brand,Brand Family,Product Num,Product Name,Package,Customer ID,Customer Name,Shipping Address,Buyer Count   2025/1,Units   2025/1,Buyer Count   2025/2,Units   2025/2,Buyer Count   2025/3,Units   2025/3,Buyer Count   2025/4,Units   2025/4,Buyer Count   2025/5,Units   2025/5,Buyer Count   2025/6,Units   2025/6,Buyer Count   2025/7,Units   2025/7,Buyer Count   2025/8,Units   2025/8,Buyer Count   2025/9,Units   2025/9,Buyer Count   2025/10,Units   2025/10,Buyer Count   2025/11,Units   2025/11,Buyer Count   2025/12,Units   2025/12,Buyer Count   2026/1,Units   2026/1,Buyer Count   2026/2,Units   2026/2,Buyer Count   2026/3,Units   2026/3,Buyer Count   2026/4,Units   2026/4,Buyer Count   2026/5,Units   2026/5,Buyer Count   2026/6,Units   2026/6,Buyer Count   2026/7,Units   2026/7
Off Premise,Savorian INC,Castellani Etichetta Gialla Pinot Noir,Castellani Etichetta Gialla,100953,Castellani Etichetta Gialla Pinot Noir 1/12/750 mL Btl,1/12/750ml Btl,25047,Parker Liquors (Z),203 Parker Ave,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,
Off Premise,Travelers Club,TRAVELERS CLUB,Travelers Club,200400,Travelers Club Vodka 12/1 L Btl,12/1 Liter Btl,27069,Broadway W&L,62 Broadway,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,
Off Premise,Travelers Club,TRAVELERS CLUB,Travelers Club,200401,Travelers Club Vodka 48/200 mL Btl,48/200ml Btl,150220,New JD Liquors,506 Prospect St,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,
Off Premise,Local Choice Inc,Striped Pig Doppio,Striped Pig,200365,Striped Pig Doppio 1/6/750 mL Btl,1/6/750 mL,32014,Wine Liquor Shop,434 Hackensack St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,
Off Premise,Molly's,Molly's Irish Cream Salted Caramel,Molly's,200298,Molly's Irish Cream Salted Caramel 1/6/750 mL Btl,6/750ml Btl,76010,Usa Wine Traders Club (Saddle Brook),66 Market St,,,,,,,,,,,,,,,,,,,,,1.00,5.00,,,,,,,,,,,,,,,,
Off Premise,Molly's,Molly's Irish Cream,Molly's,200291,Molly's Irish Cream 6/1.75 L Btl,6/1.75 Liter Btl,171318,Kearny Plaza Discount Liq,190 Passaic Ave #3,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
Off Premise,Bardstown Bourbon Co,Bardstown Origin Series Bourbon,Bardstown Bourbon,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,1/750ML,79002,Hollywd Liq&Deli (A),40 W Pleasant Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,6.00,,,,,,
Off Premise,Pride & Clarke,Pride & Clarke Vodka,Pride & Clarke,200310,Pride & Clarke Vodka 6/1.75 L Btl,6/1.75 Liter Btl,150668,Chancellor Irvington,580 Chancellor Ave,1.00,1.00,1.00,1.00,,,1.00,1.00,,,1.00,2.00,,,1.00,2.00,,,,,1.00,2.00,1.00,2.00,1.00,2.00,,,,,1.00,2.00,,,,,,
Off Premise,1925 Spirits LLC,Leyenda 1925 Blanco Tequila,Leyenda 1925,200217,Leyenda 1925 Blanco Tequila 1/750 ML Btl,1/6/750 mL (BO),12005,Shay's Liquors,1166 Hamburg Tnpk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,2.00
Off Premise,Pride & Clarke,Pride & Clarke Vodka,Pride & Clarke,200312,Pride & Clarke Vodka 48/200 mL Btl,48/200ml Btl,152018,Kimka Liquors,918-920 18th Ave,1.00,1.00,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,,1.00,2.00,,,1.00,2.00,,,,,,
