On-Off Premise,Supplier,Brand,Brand Family,Product Num,Product Name,Package,Buyer Count   2025,Buyer Count   2026,Units   2025,Units   2026
Off Premise,US Beverage,Sammy's Beach Bar Platinum Rum,Sammy's Beach Bum,200261,Sammy's Beach Bar Platinum Rum 1/6/750 mL Btl,1/6/750 mL (BO),,21.00,,82.00
Off Premise,Savorian INC,Les Domaniales Rose D' Anjou Loire,Les Domaniales Rose D' Anjou Loire,100955,Les Domaniales Rose D' Anjou Loire 1/12/750 mL Btl,1/12/750ml Btl,3.00,4.00,3.00,5.00
Off Premise,Little Water Distillery,Rusted Revolver Gin,Rusted Revolver,200467,Rusted Revolver Gin 6/750mL Btl,6/750ml Btl,3.00,5.00,5.00,5.00
Off Premise,Travelers Club,TRAVELERS CLUB,Travelers Club,200404,Traveler's Club Vodka 6/1.75 L Btl,6/1.75 Liter Btl,86.00,62.00,1829.00,889.00
Off Premise,Lo Secco LLC,Lo Secco Prosecco,Lo Secco,101091,Lo Secco Prosecco 1/12/750 mL Btl,1/12/750ml Btl,,7.00,,15.00
Off Premise,Waterloo Gin,Waterloo Prickly Pear & Rose Gin,Waterloo Gin,200063,Waterloo Prickly Pear & Rose Gin 6/750 mL Btl,1/6/750 mL (BO),9.00,1.00,60.00,6.00
Off Premise,Chateau Diana Winery,Chateau Diana Non-Alcoholic Merlot,Chateau Diana,200193,Chateau Diana Non-Alcoholic Merlot 12/750 mL Btl,1/12/750ml Btl,,4.00,,4.00
Off Premise,US Beverage,Sammy's Red Head Rum,Sammy's Beach Bum,200262,Sammy's Red Head Rum 1/6/750 mL Btl,1/6/750 mL (BO),,9.00,,39.00
Off Premise,Pride & Clarke,Pride & Clarke Vodka,Pride & Clarke,200312,Pride & Clarke Vodka 48/200 mL Btl,48/200ml Btl,297.00,259.00,2381.00,2141.00
Off Premise,Bardstown Bourbon Co,Bardstown Origin Series High Wheat,Bardstown Bourbon,201058,Bardstown Origin Series High Wheat 1/750 mL Btl,1/750ML,119.00,59.00,2313.00,690.00
Off Premise,Travelers Club,TRAVELERS CLUB,Travelers Club,200400,Travelers Club Vodka 12/1 L Btl,12/1 Liter Btl,33.00,29.00,157.00,68.00
Off Premise,Riviera Imports,Ecaana Pinot Grigio,Ecaana,200318,Ecaana Pinot Grigio 6/1.5 L Btl,6/1.5 Liter Btl,1.00,1.00,1.00,2.00
Off Premise,Bardstown Bourbon Co,Green River Bourbon 250th Army Anniversary,Bardstown Green River,201072,Green River Bourbon 250th Army Anniversary 1/750 mL,1/750ML,28.00,13.00,320.00,79.00
Off Premise,American Fruits,AMERICAN FRUIT,American Fruit,200152,American Fruit Bartlett Pear Liqueur 12/375 mL,12/375ml Btl,3.00,3.00,4.00,3.00
