Segment,Supplier,Brand Family,Brand,Product,Package,Servings per Case,Cases,Num Units,Tax Cost,Laid-in Cost,Discount,Participation,Full Price,Unit Price,Ext Price,Load Sheet Date
Spirits,Molly's,Molly's,Molly's Irish Cream,200292 Molly's Irish Cream 12/1 L Btl,12/1 Liter Btl,33,0,0,$0.00,$0.00,$0.00,$0.00,$192.00,$158.40,$0.00,7/30/2026
Spirits,Pride & Clarke,Pride & Clarke,Pride & Clarke Vodka,200310 Pride & Clarke Vodka 6/1.75 L Btl,6/1.75 Liter Btl,29,0,0,$0.00,$0.00,$0.00,$0.00,$72.00,$69.50,$0.00,7/30/2026
Spirits,Waterloo Gin,Waterloo Gin,Waterloo Barrel Aged Gin,200062 Waterloo Barrel Aged Gin 6/750 mL Btl,1/6/750 mL (BO),6,23,138,$1.089710,$22.00,$0.00,$0.00,$15.833333,$15.833333,"$2,185.00",7/31/2026
Spirits,Cruz Beverage,YaVe Tequila,YaVe Tequila Coconut,200385 YaVe Tequila Coconut 1/6/750 mL Btl,1/6/750 mL (BO),6,0,0,$1.089710,$22.833333,$0.00,$0.00,$34.50,$34.50,$0.00,7/31/2026
Spirits,Cruz Beverage,YaVe Tequila,YaVe Tequila Mango,200381 YaVe Tequila Mango 1/6/750 mL Btl,1/6/750 mL (BO),6,0,0,$1.089710,$22.833333,$0.00,$0.00,$34.50,$34.50,$0.00,7/31/2026
Spirits,1925 Spirits LLC,Leyenda 1925,Leyenda 1925 Blanco Tequila,200217 Leyenda 1925 Blanco Tequila 1/750 ML Btl,1/6/750 mL (BO),6,0,0,$0.182617,$31.50,$0.00,$0.00,$45.833333,$45.833333,$0.00,7/31/2026
Wine,Caravella Inc,Caravella,Lou Lou Bubbly Brut Rose,200736 Lou Lou Bubbly Brut Rose 1/12/12 oz Can,1/12/12oz Can,1,0,0,$1.968750,$30.00,$10.50,$0.00,$44.00,$33.50,$0.00,7/31/2026
Spirits,Travelers Club,Travelers Club,TRAVELERS CLUB,200404 Traveler's Club Vodka 6/1.75 L Btl,6/1.75 Liter Btl,29,5,5,$15.255936,$27.18,$32.00,$0.00,$68.00,$36.00,$180.00,7/31/2026
Spirits,Cruz Beverage,YaVe Tequila,YaVe Tequila Blanco,200384 YaVe Tequila Blanco 1/6/750 mL Btl,1/6/750 mL (BO),6,0,0,$1.089710,$22.833333,$4.50,$0.00,$34.50,$30.00,$0.00,7/31/2026
Wine,Prestige,Greek Wines,Amethystos White,200352 Amethystos White 12/750 mL,1/12/750ml Btl,23,1,1,$2.080355,$144.50,$10.00,$0.00,$210.00,$200.00,$200.00,7/31/2026
Wine,Prestige,Greek Wines,Amethystos Red,200351 Amethystos Red 12/750 mL,1/12/750ml Btl,23,2,2,$2.080355,$151.00,$10.00,$0.00,$240.00,$230.00,$460.00,7/31/2026
Spirits,Bardstown Bourbon Co,Bardstown Bourbon,Bardstown Origin Series High Wheat,201058 Bardstown Origin Series High Wheat 1/750 mL Btl,1/750ML,6,0,0,$0.181615,$26.00,$3.00,$0.00,$40.666667,$37.666667,$0.00,7/31/2026
Spirits,Pabst Brewing Company,New Holland Brewing Co,New Holland Dragon's Milk Reserve Coconut Rum,11062 New Holland Dragon's Milk Reserve Coconut Rum 6/4/12 oz Btl,6/4/12oz NR,24,0,0,$0.27,$55.51,$0.00,$0.00,$80.00,$80.00,$0.00,7/31/2026
Spirits,Pabst Brewing Company,New Holland Brewing Co,New Holland Dragon's Milk Reserve Coconut Rum,11062 New Holland Dragon's Milk Reserve Coconut Rum 6/4/12 oz Btl,6/4/12oz NR,24,0,0,$0.27,$55.51,$0.00,$0.00,$80.00,$80.00,$0.00,7/31/2026
Spirits,Licores Artesanales,Desquite,Desquite Artesanal,200771 Desquite Artesanal 6/750 mL Btl,1/6/750 mL (BO),6,3,18,$1.089710,$10.833333,$5.00,$0.00,$21.333333,$16.333333,$294.00,7/31/2026
Wine,Chateau Diana Winery,Chateau Diana,Chateau Diana Chardonnay,200172 Chateau Diana Chardonnay 12/750 mL Btl,1/12/750ml Btl,23,1,1,$2.080313,$57.00,$10.00,$0.00,$90.00,$80.00,$80.00,7/31/2026
Wine,Chateau Diana Winery,Chateau Diana,Chateau Diana Caberner Sauvigon,200171 Chateau Diana Caberner Sauvigon 12/750 mL Btl,1/12/750ml Btl,23,1,1,$2.080313,$57.00,$10.00,$0.00,$90.00,$80.00,$80.00,7/31/2026
Spirits,Licores Artesanales,Desquite,Desquite Tradicion,200772 Desquite Tradicion 6/750 mL Btl,1/6/750 mL (BO),6,0,0,$1.089710,$14.333333,$0.00,$0.00,$23.333333,$23.333333,$0.00,7/30/2026
Spirits,Pride & Clarke,Pride & Clarke,Pride & Clarke Vodka,200311 Pride & Clarke Vodka 12/1 L Btl,12/1 Liter Btl,33,0,0,$17.435355,$53.00,$0.00,$0.00,$80.00,$80.00,$0.00,7/31/2026
Spirits,Cruz Beverage,YaVe Tequila,YaVe Tequila Blanco,200384 YaVe Tequila Blanco 1/6/750 mL Btl,1/6/750 mL (BO),6,0,0,$1.089710,$22.833333,$4.50,$0.00,$34.50,$30.00,$0.00,7/31/2026
Wine,Prestige Beverage Group,Le Grand Noir,La Grand Noir Rose,100125 La Grand Noir Rose 1/12/750 mL Btl,1/12/750ml Btl,23,0,0,$2.078125,$76.00,$8.00,$0.00,$104.00,$96.00,$0.00,7/31/2026
Spirits,Pride & Clarke,Pride & Clarke,Pride & Clarke Vodka,200314 Pride & Clarke Vodka 1/12/750 mL Btl,1/12/750ml Btl,23,3,3,$13.076517,$41.00,$5.40,$0.00,$70.00,$64.60,$193.80,7/31/2026
Spirits,Cruz Beverage,YaVe Tequila,YaVe Tequila Jalapeno,200382 YaVe Tequila Jalapeno 1/6/750 mL Btl,1/6/750 mL (BO),6,0.333333,2,$1.089710,$22.833333,$6.50,$0.8333,$34.50,$28.00,$56.00,7/31/2026
Spirits,Pride & Clarke,Pride & Clarke,Pride & Clarke Vodka,200314 Pride & Clarke Vodka 1/12/750 mL Btl,1/12/750ml Btl,23,1,1,$13.076517,$41.00,$5.40,$0.00,$70.00,$64.60,$64.60,7/31/2026
Spirits,Pride & Clarke,Pride & Clarke,Pride & Clarke Vodka,200313 Pride & Clarke Vodka 24/375 mL Btl,24/375ml Btl,24,5,5,$13.076517,$49.095238,$5.75,$2.00,$71.00,$65.25,$326.25,7/31/2026
Spirits,Pride & Clarke,Pride & Clarke,Pride & Clarke Vodka,200312 Pride & Clarke Vodka 48/200 mL Btl,48/200ml Btl,13,2,2,$13.948284,$52.50,$5.75,$2.00,$78.00,$72.25,$144.50,7/31/2026
Spirits,Pride & Clarke,Pride & Clarke,Pride & Clarke Vodka,200311 Pride & Clarke Vodka 12/1 L Btl,12/1 Liter Btl,33,0,0,$17.435355,$53.00,$0.00,$0.00,$80.00,$80.00,$0.00,7/31/2026
Spirits,Pride & Clarke,Pride & Clarke,Pride & Clarke Vodka,200310 Pride & Clarke Vodka 6/1.75 L Btl,6/1.75 Liter Btl,29,1,1,$15.255936,$43.75,$2.50,$0.00,$72.00,$69.50,$69.50,7/31/2026
Spirits,Bardstown Bourbon Co,Bardstown Bourbon,Bardstown Origin Series High Wheat,201058 Bardstown Origin Series High Wheat 1/750 mL Btl,1/750ML,6,2,12,$0.181615,$26.00,$4.333333,$0.00,$40.666667,$36.333334,$436.00,7/31/2026
Spirits,Bardstown Bourbon Co,Bardstown Bourbon,Bardstown Origin Series Double Barrel Rye,201057 Bardstown Origin Series Double Barrel Rye 1/750 mL Btl,1/750ML,6,1,6,$0.181615,$26.00,$4.333333,$0.00,$40.666667,$36.333334,$218.00,7/31/2026
Spirits,Bardstown Bourbon Co,Bardstown Bourbon,Bardstown Origin Series High Wheat,201058 Bardstown Origin Series High Wheat 1/750 mL Btl,1/750ML,6,0,0,$0.181615,$26.00,$4.333333,$0.00,$40.666667,$36.333334,$0.00,7/31/2026
Spirits,Bardstown Bourbon Co,Bardstown Bourbon,Bardstown Origin Series High Wheat,201058 Bardstown Origin Series High Wheat 1/750 mL Btl,1/750ML,6,2,12,$0.181615,$26.00,$4.333333,$0.00,$40.666667,$36.333334,$436.00,7/31/2026
