Package ID,Package,Fluid Ounces Per Case,Case Equiv Description,Case Weight in Lbs,Case Equiv,Wholesale Units per Case,Retail Units per Case,Consumable Units per Case,Servings per Case,Selling Unit Of Measure,Container Type,Pick Units Per Case
166,0/0/0.00 oz,0,Beer,20.50,0,1,1,1,1,3) Case (CA),Aluminum Can,1
167,0/0/0.02 oz,0.20,Beer,20.50,0.000694,1,1,12,1,3) Case (CA),Aluminum Can,1
168,0/0/1.00 oz,1,Beer,20.50,0.003472,1,1,1,1,3) Case (CA),Aluminum Can,1
169,0/0/10.00 oz,240,Beer,25,0.833333,1,1,24,1,3) Case (CA),Aluminum Can,1
170,0/0/10.08 oz,242,Beer,27,0.840278,1,1,24,1,3) Case (CA),Aluminum Can,1
171,0/0/10.14 oz,243.30,Beer,27,0.844792,1,1,24,1,3) Case (CA),Aluminum Can,1
172,0/0/10.67 oz,288,Beer,27,1,1,1,27,1,3) Case (CA),Aluminum Can,1
173,0/0/1011.00 oz,1011,Beer,27,3.510417,1,1,1,1,3) Case (CA),Aluminum Can,1
174,0/0/1014.00 oz,1014,Beer,27,3.520833,1,1,1,1,3) Case (CA),Aluminum Can,1
175,0/0/11.00 oz,264,Beer,15,0.916667,1,1,24,1,3) Case (CA),Aluminum Can,1
176,0/0/11.17 oz,268,Beer,15,0.930556,1,1,24,1,3) Case (CA),Aluminum Can,1
177,0/0/11.20 oz,268.80,Beer,15,0.933333,1,1,24,1,3) Case (CA),Aluminum Can,1
178,0/0/11.21 oz,269,Beer,15,0.934028,1,1,24,1,3) Case (CA),Aluminum Can,1
179,0/0/11.50 oz,276,Beer,25,0.958333,1,1,24,1,3) Case (CA),Aluminum Can,1
180,0/0/11.58 oz,278,Beer,20,0.965278,1,1,24,1,3) Case (CA),Aluminum Can,1
181,0/0/1152.00 oz,1152,Beer,20,4,1,1,1,1,3) Case (CA),Aluminum Can,1
182,0/0/12.00 oz,288,Beer,20,1,1,1,24,1,3) Case (CA),Aluminum Can,1
183,0/0/12.03 oz,288.80,Beer,20,1.002778,1,1,24,1,3) Case (CA),Aluminum Can,1
184,0/0/12.67 oz,152,Beer,20,0.527778,1,1,12,1,3) Case (CA),Aluminum Can,1
185,0/0/12.71 oz,305,Beer,20.50,1.059028,1,1,24,1,3) Case (CA),Aluminum Can,1
186,0/0/128.00 oz,768,Beer,30,2.666667,1,1,6,1,3) Case (CA),Aluminum Can,1
187,0/0/13.00 oz,312,Beer,30,1.083333,1,1,24,1,3) Case (CA),Aluminum Can,1
188,0/0/13.58 oz,326,Beer,30,1.131944,1,1,24,1,3) Case (CA),Aluminum Can,1
189,0/0/13.71 oz,288,Beer,30,1,1,1,21,1,3) Case (CA),Aluminum Can,1
190,0/0/1382.00 oz,1382,Beer,30,4.798611,1,1,1,1,3) Case (CA),Aluminum Can,1
191,0/0/14.00 oz,336,Beer,30,1.166667,1,1,24,1,3) Case (CA),Aluminum Can,1
192,0/0/14.08 oz,338,Beer,30,1.173611,1,1,24,1,3) Case (CA),Aluminum Can,1
193,0/0/14.90 oz,298,Beer,30,1.034722,1,1,20,1,3) Case (CA),Aluminum Can,1
194,0/0/14.92 oz,358,Beer,20,1.243056,1,1,24,1,3) Case (CA),Aluminum Can,1
195,0/0/144.00 oz,288,Beer,20,1,1,1,2,1,3) Case (CA),Aluminum Can,1
196,0/0/15.00 oz,360,Beer,25,1.25,1,1,24,1,3) Case (CA),Aluminum Can,1
197,0/0/15.20 oz,304,Beer,25,1.055556,1,1,20,1,3) Case (CA),Aluminum Can,1
198,0/0/15.21 oz,365,Beer,25,1.267361,1,1,24,1,3) Case (CA),Aluminum Can,1
199,0/0/15.42 oz,370,Beer,21,1.284722,1,1,24,1,3) Case (CA),Aluminum Can,1
200,0/0/16.00 oz,384,Beer,21,1.333333,1,1,24,1,3) Case (CA),Aluminum Can,1
201,0/0/16.40 oz,328,Beer,21,1.138889,1,1,20,1,3) Case (CA),Aluminum Can,1
202,0/0/16.88 oz,405,Beer,25,1.406250,1,1,24,1,3) Case (CA),Aluminum Can,1
203,0/0/16.89 oz,304,Beer,21,1.055556,1,1,18,1,3) Case (CA),Aluminum Can,1
204,0/0/16.90 oz,338,Beer,21,1.173611,1,1,20,1,3) Case (CA),Aluminum Can,1
205,0/0/16.91 oz,592,Beer,21,2.055556,1,1,35,1,3) Case (CA),Aluminum Can,1
