Customer Num,Customer Name,Sales Rep Assigned,City,Route,On-Off Premise
260006,Ali's Liquors,Alex Rodriguez,Unknown,Unknown,Off Premise
250156,Alman Liquors,Alex Rodriguez,Roselle,Elizabeth Fri,Off Premise
260005,Bay City Liquors,Alex Rodriguez,Unknown,Unknown,Off Premise
250193,Bella Wine and Spirits,Alex Rodriguez,Unknown,Unknown,Off Premise
250141,Ben Franklin Liquor,Alex Rodriguez,Plainfield,Elizabeth Wed,Off Premise
250132,Butlers Liquor Store,Alex Rodriguez,Unknown,Unknown,Off Premise
250152,C & B Liquors,Alex Rodriguez,Unknown,Unknown,Off Premise
250315,Cantinho Liquors,Alex Rodriguez,Unknown,Unknown,Off Premise
260002,Colonial Liquor Store,Alex Rodriguez,Unknown,Unknown,On Premise
250056,Continental Wine/Liq,Alex Rodriguez,Elizabeth,Elizabeth Fri,Off Premise
250080,Crown Liquors,Alex Rodriguez,Roselle,Elizabeth Fri,Off Premise
260004,Drinks 2 Go Liquors,Alex Rodriguez,Unknown,Unknown,Off Premise
250137,Elmora Liquors,Alex Rodriguez,Unknown,Unknown,Off Premise
250190,Frenchys Bar & Grill,Alex Rodriguez,Unknown,Unknown,On Premise
250186,Gail's Wine And Spirits,Alex Rodriguez,Elizabeth,Newark Wed,Off Premise
250135,Garcias Liquor Depot,Alex Rodriguez,Elizabeth,10050 Fri,Off Premise
253002,Golden Anchor Bar,Alex Rodriguez,Unknown,Unknown,On Premise
150609,Home Liquors(465 Newark),Alex Rodriguez,Newark,Newark Fri,Off Premise
250300,Jackson Liquors,Alex Rodriguez,Elizabeth,10068 Tue,Off Premise
250068,Jakob Liquors,Alex Rodriguez,Elizabeth,10053 Wed,Off Premise
150012,Kings Super Markets,Alex Rodriguez,Unknown,Unknown,Off Premise
150155,L Town Liquors,Alex Rodriguez,Livingston,10078 Wed,Off Premise
253000,Leland Liquor & Deli,Alex Rodriguez,Plainfield,10059 Thu,Off Premise
250053,Liquor Basics,Alex Rodriguez,Unknown,Unknown,Off Premise
250128,Liquor Depot,Alex Rodriguez,Elizabeth,Elizabeth Fri,Off Premise
250131,Liquor Gallery (Elizabeth),Alex Rodriguez,Elizabeth,Elizabeth Thu,Off Premise
250054,Marte Liq Warehouse,Alex Rodriguez,Elizabeth,Elizabeth Fri,Off Premise
250049,New Seaport Liquors,Alex Rodriguez,Elizabeth,Elizabeth Wed,Off Premise
250302,New Silver Key Liquor 4,Alex Rodriguez,Elizabeth,Elizabeth Thu,Off Premise
250043,Nugents Tavern (P),Alex Rodriguez,Unknown,Unknown,On Premise
250303,Olga's Place,Alex Rodriguez,Unknown,Unknown,On Premise
150641,Otg Management Ewr,Alex Rodriguez,Unknown,Unknown,On Premise
260008,Outerbridge Liquors,Alex Rodriguez,Unknown,Unknown,Off Premise
260007,Path Discount Liquors,Alex Rodriguez,Unknown,Unknown,Off Premise
250151,Paul & Joe Deli And Liq,Alex Rodriguez,Unknown,Unknown,Off Premise
250059,Payless Liquor,Alex Rodriguez,Elizabeth,Elizabeth Wed,Off Premise
250070,Pereira's Liquor,Alex Rodriguez,Elizabeth,Elizabeth Thu,Off Premise
250072,Picacho Liquors,Alex Rodriguez,Elizabeth,Elizabeth Wed,Off Premise
250082,Pickwick Liquor Shop,Alex Rodriguez,Plainfield,Elizabeth Thu,Off Premise
